delta_bucket,tau_bucket,n,half_spread_volpts_med,half_spread_volpts_p90
dotm,0-2d,67,0.6275285000000019,4.332148900000001
dotm,7-30d,55,0.3837094999999985,0.5796897000000013
dotm,30d+,12,0.38162025000000044,0.3884339500000014
otm,0-2d,29,0.1591855000000003,0.20082670000000025
otm,2-7d,11,0.1119975000000023,0.12447600000000114
otm,7-30d,48,0.1704252500000003,0.3951489499999997
otm,30d+,25,0.37110049999999895,0.3875275000000006
atm,0-2d,26,0.15426449999999953,0.23279149999999998
atm,2-7d,18,0.10650224999999985,0.14830329999999983
atm,7-30d,40,0.16795924999999934,0.37946144999999987
atm,30d+,17,0.36603050000000026,0.3930376000000008
itm,0-2d,94,5.173918499999998,112.61633715000004
itm,2-7d,11,0.5329275000000022,0.8210149999999999
itm,7-30d,106,1.7181065000000024,11.92234775
itm,30d+,35,1.1630205000000005,2.7119514000000002
