fri,entry_ts,instrument,cp,strike,expiry,T_days,wknd_frac,abs_delta,iv_in,iv_out,iv_change,index_move_pct,vega_usd,gamma_per_vega,theta_per_vega,volga_per_vega,vanna_per_vega,charm_per_day,vega_traded_in_window,net_per_vega,gross_per_vega
2017-09-22,2017-09-22 11:28:33.203000+00:00,BTC-29SEP17-3500-C,C,3500,2017-09-29 08:00:00+00:00,6.83333,0.291751,0.627044,0.8267,0.6612,-0.1655,4.67728,186.834,64.6119,-0.0604902,0.0828906,-1.86764,0.00585074,374.48,-0.481591,-0.444864
2017-12-01,2017-12-01 12:30:40.330000+00:00,BTC-8DEC17-10250-C,C,10250,2017-12-08 08:00:00+00:00,6.83333,0.293598,0.537759,1.2969,0.999,-0.2979,6.11708,557.602,41.1864,-0.0948951,-0.0060404,0.465101,-0.00239836,1664.68,-0.307149,-0.287033
2017-12-01,2017-12-01 12:34:18.581000+00:00,BTC-8DEC17-11000-C,C,11000,2017-12-08 08:00:00+00:00,6.83333,0.293707,0.37631,1.2644,1.4456,0.1812,6.19222,533.212,42.245,-0.0925171,0.121155,2.81693,-0.0135401,532.139,-0.565206,-0.544577
2017-12-22,2017-12-22 11:50:00.586000+00:00,BTC-29DEC17-14500-C,C,14500,2017-12-29 08:00:00+00:00,6.83333,0.292386,0.439481,1.5154,1.3621,-0.1533,9.01622,741.882,35.2479,-0.110883,0.0362014,1.73532,-0.0103819,742.279,-0.563081,-0.54274
2017-12-22,2017-12-22 12:36:36.224000+00:00,BTC-29DEC17-15000-P,P,15000,2017-12-29 08:00:00+00:00,6.83333,0.293776,0.551306,1.6551,1.6456,-0.00949997,2.77793,768.85,32.2728,-0.121105,0.0275008,1.56655,-0.010271,767.354,0.455016,0.478896
2018-03-23,2018-03-23 11:49:11.627000+00:00,BTC-30MAR18-8500-C,C,8500,2018-03-30 08:00:00+00:00,6.83333,0.292362,0.517943,1.0231,0.9746,-0.0485,0.871522,461.888,52.2086,-0.074861,-0.00417492,0.678978,-0.00277174,2311.25,0.0581589,0.0780213
2018-04-20,2018-04-20 12:21:47.936000+00:00,BTC-27APR18-8500-C,C,8500,2018-04-27 08:00:00+00:00,6.83333,0.293333,0.538082,0.8218,0.8307,0.00889999,4.4178,463.914,64.9971,-0.0601317,-0.00195745,0.149613,-0.000488839,2316.39,-0.437195,-0.417174
2018-04-27,2018-04-27 12:20:40.431000+00:00,BTC-4MAY18-9500-C,C,9500,2018-05-04 08:00:00+00:00,6.83333,0.293299,0.456943,0.7906,0.9212,0.1306,0.821963,506.599,67.5622,-0.0578488,0.0294943,1.99757,-0.00627114,8095.04,-0.114878,-0.0950572
2018-05-11,2018-05-11 11:38:38.092000+00:00,BTC-18MAY18-9000-C,C,9000,2018-05-18 08:00:00+00:00,6.83333,0.292049,0.364088,0.6012,0.8242,0.223,-2.23738,447.837,88.8467,-0.0439902,0.249077,5.23072,-0.0118222,903.179,0.00378739,0.0240539
2018-05-25,2018-05-25 12:06:08.351000+00:00,BTC-1JUN18-7500-C,C,7500,2018-06-01 08:00:00+00:00,6.83333,0.292866,0.528794,0.6488,0.6142,-0.0346,-2.46829,409.338,82.3284,-0.0474732,-0.00184056,0.186201,-0.000481256,817.187,0.295708,0.315408
