fri,entry_ts,instrument,cp,strike,expiry,T_days,wknd_frac,abs_delta,iv_in,iv_out,iv_change,index_move_pct,vega_usd,gamma_per_vega,theta_per_vega,volga_per_vega,vanna_per_vega,charm_per_day,vega_traded_in_window,net_per_vega,gross_per_vega
2019-03-29,2019-03-29 12:44:08.966000+00:00,ETH-5APR19-140-C,C,140,2019-04-05 08:00:00+00:00,6.83333,0.294002,0.518653,0.6492,0.577,-0.0722,1.64382,7.63529,82.2776,-0.0475024,-0.00302923,0.472387,-0.00122354,7.61818,0.0221379,0.0549364
2019-04-05,2019-04-05 11:17:51.404000+00:00,ETH-12APR19-160-C,C,160,2019-04-12 08:00:00+00:00,6.83333,0.291435,0.613791,0.8607,0.9428,0.0821,1.02487,8.60577,62.0595,-0.062978,0.0578063,-1.45894,0.00480946,8.62509,-0.126309,-0.091523
2019-04-19,2019-04-19 11:53:28.209000+00:00,ETH-26APR19-180-C,C,180,2019-04-26 08:00:00+00:00,6.83333,0.292489,0.388962,0.7526,0.7928,0.0402,-0.0881977,9.12313,70.9735,-0.0550683,0.144388,3.74001,-0.0108036,26.9428,0.0353325,0.0652732
2019-05-03,2019-05-03 12:07:29.611000+00:00,ETH-10MAY19-170-P,P,170,2019-05-10 08:00:00+00:00,6.83333,0.292906,0.565473,0.6414,0.6287,-0.0127,-2.8823,8.98839,83.2782,-0.0469317,0.0648689,2.87743,-0.00727203,8.98482,-0.0227853,0.0104183
2019-05-24,2019-05-24 11:56:28.159000+00:00,ETH-31MAY19-270-C,C,270,2019-05-31 08:00:00+00:00,6.83333,0.292578,0.354986,1.0421,1.0087,-0.0334,-0.265251,12.9106,51.2567,-0.0762512,0.183681,3.60884,-0.0140167,38.7149,0.0934308,0.124359
2019-05-24,2019-05-24 12:34:40.433000+00:00,ETH-31MAY19-260-C,C,260,2019-05-31 08:00:00+00:00,6.83333,0.293718,0.448136,1.0356,1.0681,0.0325,0.119586,13.6784,51.5784,-0.0757756,0.0340653,1.9167,-0.00786139,13.6535,0.0110636,0.0425702
2019-07-26,2019-07-26 12:05:27.695000+00:00,ETH-2AUG19-210-P,P,210,2019-08-02 08:00:00+00:00,6.83333,0.292845,0.386509,1.0618,0.9368,-0.125,-4.40887,11.3462,50.3057,-0.0776927,0.0388683,-0.985025,0.00400726,22.6859,0.0661316,0.0976487
2019-07-26,2019-07-26 12:08:15.886000+00:00,ETH-2AUG19-230-C,C,230,2019-08-02 08:00:00+00:00,6.83333,0.292929,0.373472,1.0749,0.9112,-0.1637,-4.84064,11.2443,49.6927,-0.0786512,0.140867,3.1926,-0.0130121,44.2842,0.0721223,0.103444
2019-07-26,2019-07-26 11:25:35.007000+00:00,ETH-2AUG19-220-C,C,220,2019-08-02 08:00:00+00:00,6.83333,0.291663,0.49697,0.962,0.8917,-0.0703,-5.2297,11.8927,55.5246,-0.0703902,0.00113648,1.05956,-0.00407102,11.9135,0.0338324,0.0666031
2019-09-27,2019-09-27 12:25:48.757000+00:00,ETH-4OCT19-170-C,C,170,2019-10-04 08:00:00+00:00,6.83333,0.293453,0.451829,0.9707,1.0265,0.0558,4.90292,8.98611,55.0269,-0.0710268,0.0315265,1.90883,-0.00734693,8.97395,0.0131103,0.044788
