asset,rule,window,n,mean,t,sharpe,hit_rate,worst,max_dd,dd_over_mean,median_vega_traded,median_T_days
BTC,incumbent: max weekend share,full,408,0.033159870042718156,3.5464125171166447,1.1905423477547543,0.5931372549019608,-0.9503925992043138,-1.6560077087808476,-49.940114561592004,2916.5299353855557,1.8333333333333333
BTC,incumbent: max weekend share,first half,265,0.03773778099333141,3.0229148816545526,1.2591824440554773,0.6,-0.9503925992043138,-1.6560077087808476,-43.881957687800416,1890.1495379832809,1.8333333333333333
BTC,incumbent: max weekend share,second half,143,0.024676328770602704,1.8615452226241895,1.0555802370860334,0.5804195804195804,-0.4453388718411556,-1.1471084042920636,-46.48618580810253,5780.606440843038,1.8333333333333333
BTC,min gamma_per_vega,full,408,-0.005963514010241344,-0.9939591788270942,-0.33367536591465136,0.5318627450980392,-0.9503925992043138,-3.6176194601696423,606.6254651128482,8200.398137021806,6.833333333333333
BTC,min gamma_per_vega,first half,265,-0.004452898737801499,-0.5164510525846477,-0.2151255076929669,0.5471698113207547,-0.9503925992043138,-3.2512735627531746,730.1476530675397,4171.289657037099,6.833333333333333
BTC,min gamma_per_vega,second half,143,-0.008762905948678812,-1.4281177997260905,-0.8098073080902989,0.5034965034965035,-0.2346225658525216,-1.6630128628755012,189.7786958590186,19099.12921469599,6.833333333333333
BTC,min volga_per_vega,full,408,0.005126969975217899,0.7242812909532924,0.24314361186257216,0.5245098039215687,-0.9503925992043138,-2.785969639290702,-543.3949589635147,5731.427365718601,6.833333333333333
BTC,min volga_per_vega,first half,265,0.004254526942782311,0.44953491942889057,0.18725187466242332,0.5169811320754717,-0.9503925992043138,-2.785969639290702,-654.8247729437988,3049.122300348618,6.833333333333333
BTC,min volga_per_vega,second half,143,0.006743735035325802,0.6734752666530168,0.3818909006373839,0.5384615384615384,-0.37448133553025065,-1.1799833139798355,-174.9747443810755,17482.69428468866,3.8333333333333335
BTC,max theta_per_vega,full,408,-0.02481276334740944,-3.84451719432345,-1.2906170684945215,0.4117647058823529,-0.9503925992043138,-9.722441669940148,391.8322813873616,8876.669289509256,6.833333333333333
BTC,max theta_per_vega,first half,265,-0.029618860257445083,-3.143679544927806,-1.3094864551868535,0.42641509433962266,-0.9503925992043138,-7.680978160699519,259.3272696497093,4171.289657037099,6.833333333333333
BTC,max theta_per_vega,second half,143,-0.015906359982658057,-2.7527084288992874,-1.5609100336064403,0.38461538461538464,-0.2775961779272309,-2.5321739425159344,159.19254595499174,21198.378107843208,6.833333333333333
ETH,incumbent: max weekend share,full,333,0.03375067221995928,2.4249595242940756,0.8938918428596899,0.5765765765765766,-0.7920742217650052,-2.8691818060346534,-85.0111010333564,150.3184003812695,1.8333333333333333
ETH,incumbent: max weekend share,first half,202,0.02402526412961278,1.3977797304733328,0.6615545344197,0.5792079207920792,-0.7920742217650052,-2.8691818060346534,-119.4235281059071,150.48834012176906,1.8333333333333333
ETH,incumbent: max weekend share,second half,131,0.04874710301576076,2.0853845472358947,1.2256122698483987,0.5725190839694656,-0.4064337028126104,-0.7518539856844901,-15.423562410291398,150.3184003812695,1.8333333333333333
ETH,min gamma_per_vega,full,333,-0.023240634468587547,-3.4032044325146313,-1.2544937972498105,0.4864864864864865,-0.7241963620973858,-8.143354070236473,350.3929327421407,448.0357509155742,6.833333333333333
ETH,min gamma_per_vega,first half,202,-0.021168048354687576,-2.2843059251776565,-1.0811381148668744,0.49504950495049505,-0.7241963620973858,-4.489456507460775,212.08646315599538,408.31882360830855,6.833333333333333
ETH,min gamma_per_vega,second half,131,-0.02643653061368522,-2.6837019115590968,-1.5772525003995657,0.4732824427480916,-0.514555828668755,-3.8058883046193417,143.96322876985883,508.34860077235896,6.833333333333333
ETH,min volga_per_vega,full,333,0.005769428783890868,0.5619398140407971,0.20714301039535363,0.5375375375375375,-0.5040816614670748,-2.244108712823814,-388.9654932720047,305.12675010667465,6.833333333333333
ETH,min volga_per_vega,first half,202,0.0011251880637559986,0.1030869545311473,0.04878997793629763,0.5396039603960396,-0.5040816614670748,-1.8190535068874016,-1616.6661960625547,274.18878168762296,6.833333333333333
ETH,min volga_per_vega,second half,131,0.012930777069900359,0.6488005852707102,0.38130998862851717,0.5343511450381679,-0.4064337028126104,-1.8046411666931568,-139.56169508899148,316.40730469897915,3.8333333333333335
ETH,max theta_per_vega,full,333,-0.028016499232494118,-4.614566130844665,-1.7010275764909697,0.44744744744744747,-0.4918380624273774,-9.662967851431448,344.90275788004726,429.264145109386,6.833333333333333
ETH,max theta_per_vega,first half,202,-0.025506813097796385,-3.1566408705541487,-1.4940051253586895,0.45544554455445546,-0.4918380624273774,-5.245229883909671,205.6403465144308,357.27662251503295,6.833333333333333
ETH,max theta_per_vega,second half,131,-0.03188639693637916,-3.5053013655116496,-2.0601190167932386,0.4351145038167939,-0.3709833140422042,-4.457483140602001,139.7926253472829,495.12526858359195,6.833333333333333
