currency,bucket,n,share_tv_nonpositive,share_at_tick,err_tv_p10,err_tv_med,err_tv_p90,share_within_1pct,share_within_5pct,tv_recon_over_obs
BTC,far wing,3095387,0.0023648093114043574,0.6395820619521888,-0.036005974582675,-0.0001171014750033228,0.03397308632789241,0.38839668957959783,0.8770648434765178,0.9898343289501514
BTC,wing,2814844,0.0005346655089944594,0.13371931091030267,-0.03275544532700112,-8.648121458942892e-05,0.03307977686105784,0.3980316627324329,0.8909416888615271,0.9971567252940352
BTC,near,3500047,0.0004299942257918251,0.013350677862325848,-0.03012167625812363,-0.0005369452137670705,0.02962402313653871,0.4288812310956964,0.9098058562681254,0.9968488373919283
BTC,at the money,4180474,7.917762435551567e-05,0.0006606906298185325,-0.023647676901543433,-3.6958304467482606e-05,0.025848270874907486,0.4818705962929976,0.9448746131412251,0.9997189506755852
ETH,far wing,2031350,0.0020606985502252197,0.5473010559480148,-0.03173952077115822,-0.0007198592696584516,0.028900114183233794,0.4289307623852831,0.8966487171240215,0.9931181632977761
ETH,wing,1917559,0.00042397652432076406,0.06980280658900195,-0.0289933579564034,-0.0003882639822249123,0.028539551049340584,0.4456281635647081,0.9060642359498859,0.9981913458137334
ETH,near,2416419,0.0005764728716336033,0.003733210175884232,-0.025773698691148317,-0.00027868861586344273,0.02702941193947761,0.47603089987436986,0.9239912945036617,0.9991670335651144
ETH,at the money,2851778,9.432711802952404e-05,9.572975175487012e-05,-0.020427726212159224,7.924644368340061e-05,0.02287615943914303,0.5379656876411752,0.9539044064037673,1.0003242506503338
SOL,far wing,66571,4.506466779829055e-05,0.0,-0.0012799243144444692,-4.030579829061853e-05,0.0007393552206782514,0.9678223771181348,0.9946520850859272,0.9993751492107762
SOL,wing,85805,0.0,0.0,-0.0008639914625625301,-1.978563396143329e-05,0.0007124320206184365,0.9640114212458482,0.9954781189907348,0.9999357652863263
SOL,near,119973,0.0,0.0,-0.0005319416311419189,-1.1325359812630609e-05,0.0005256406408564731,0.9619331016145299,0.9953072774707643,1.000083649979368
SOL,at the money,150570,0.0,0.0,-0.0006209899759616714,-7.350256282068202e-06,0.0005279188855346732,0.9531447167430431,0.9947599123331341,0.9999777179180193
XRP,far wing,18290,0.00043739748496446145,0.0,-0.0014528385855611553,-3.8950910562107754e-05,0.0007000430200890816,0.9703533530248332,0.9964445903074062,0.9996779906094804
XRP,wing,24673,0.00012159040246423215,0.0,-0.0005306716001086343,-1.8469517461205953e-05,0.000398858138098613,0.9777867855695176,0.9968788001621403,0.999894081331488
XRP,near,33834,0.0,0.0,-0.0004187410151118676,-1.4769374673706537e-05,0.00031995441396484044,0.9652716202636401,0.9936454454099427,0.9999861617197051
XRP,at the money,58648,0.0,0.0,-0.0002471960610183954,-8.814428846537492e-06,0.00019445218101179506,0.9633235574955668,0.9949699904515072,1.0000011609126105
