currency,spec,bucket,n,n_days,n_cells,var_kept,beta,se,t,beta_recon,beta_diff,se_diff,t_diff,predicted,share_at_tick,t_vs_predicted
BTC,"day FE, polynomial controls",all,13580091,3422,3422,0.44245826097669927,-0.470996875903832,0.016020881370813533,-29.398936612930864,-0.46744191681948827,-0.003554959084347987,0.0015813830993489546,-2.2480062458056755,-0.6133908876797929,0.17713276000875106,8.888026100447318
BTC,"day FE, polynomial controls",at the money,5138667,3406,3406,0.41992634858901795,-0.48264745794121894,0.014352021204549942,-33.62923250059078,-0.47931148453323114,-0.0033359734079874137,0.0010861346082652453,-3.0714180200146375,-0.31227919523390674,0.005311688809568707,-11.870680810679216
BTC,"day FE, polynomial controls",near,3269876,3398,3398,0.44268394070982703,-0.6365113050422903,0.018122262294152775,-35.12317031453978,-0.6386164858573973,0.0021051808151032474,0.0017160325326296179,1.22677208914991,-0.5534129867487074,0.05278548789006066,-4.585427412139094
BTC,"day FE, polynomial controls",wing,3671487,3362,3362,0.443611864839139,-0.7021784894898809,0.02141764483241882,-32.785046861316346,-0.7025391909588414,0.00036070146896099504,0.002185495144195726,0.1650433632483476,-0.8926892046217897,0.3063401831465017,8.895035687749486
BTC,"day FE, polynomial controls",far wing,1499549,3246,3246,0.41015016353937267,-0.47451044012739696,0.024707911977334934,-19.204797255335656,-0.4626384909712746,-0.011871949156117393,0.005295467166448097,-2.2419078020797985,-1.2466522892312224,0.7207413695717846,31.250793260560695
BTC,day x strike x maturity cell,all,13580091,3422,289045,0.06833725390605944,-0.6560012419133393,0.03412724619383258,-19.222214361728685,-0.6537164049188428,-0.002284836994495764,0.0024282354081767224,-0.9409454234963853,-0.5960050512661941,0.17713276000875106,-1.7580144118978942
BTC,day x strike x maturity cell,at the money,5138667,3406,67372,0.06600432645945124,-0.547614227257408,0.027489541398679276,-19.92082077017545,-0.5456866896722335,-0.0019275375851748981,0.0012229923292366082,-1.5760831356792457,-0.30923034113273923,0.005311688809568707,-8.671802947433742
BTC,day x strike x maturity cell,near,3269876,3398,85584,0.06158537552083466,-0.8319932241709825,0.039614586937161515,-21.00219359830076,-0.8319790959732796,-1.412819770173523e-05,0.0025942177341826736,-0.005446033891286468,-0.5561865630257583,0.05278548789006066,-6.962250081837821
BTC,day x strike x maturity cell,wing,3671487,3362,123529,0.058734867966544924,-0.9305885933678462,0.04983436570073605,-18.673631745534617,-0.9298875356664483,-0.0007010577014013479,0.0035219180814985954,-0.19905565239695863,-0.8934553413044534,0.3063401831465017,-0.745133434353
BTC,day x strike x maturity cell,far wing,1499549,3246,111789,0.050234630489763364,-0.5444188529171969,0.05743718811512642,-9.478508102206714,-0.5433868080361468,-0.0010320448810495894,0.0071802612387178175,-0.1437336117360936,-1.219502878996139,0.7207413695717846,11.753430977954764
BTC,"cell, off-tick prints only",all,11174612,3422,226136,0.06434785252500518,-0.4044618769544858,0.029196327304729524,-13.85317655652418,-0.4016822513624201,-0.0027796255920666114,0.002367392667163092,-1.1741295099124849,-0.414263261549866,0.0,0.3357060801888061
BTC,"cell, off-tick prints only",at the money,5111372,3406,67351,0.06514725343252871,-0.4837149555516021,0.0268478469066388,-18.016899352625238,-0.4826268884620611,-0.0010880670895387359,0.0011011373670460464,-0.9881302025537709,-0.3005456223013599,0.0,-6.822496190744778
