entry_ts,exit_ts,instrument,cp,strike,expiry,hold_hours,wknd_frac,closed_frac,iv_in,iv_out,iv_change,index_in,index_out,index_move_pct,premium_in,premium_out,option_pnl,hedge_pnl,perp_fees,vega_usd,gross_usd,net_usd,gross_per_vega,net_per_vega
2019-05-03 12:07:29.611000+00:00,2019-05-05 00:00:00+00:00,ETH-10MAY19-170-P,P,170,2019-05-10 08:00:00+00:00,35.8751,0.292906,0.317315,0.6414,0.6287,-0.0127,166.916,162.104,-2.8823,7.56607,9.93486,-2.36878,2.46243,0.0783394,8.98839,0.0936435,-0.204803,0.0104183,-0.0227853
2019-05-24 12:34:40.433000+00:00,2019-05-26 00:00:00+00:00,ETH-31MAY19-260-C,C,260,2019-05-31 08:00:00+00:00,35.4221,0.293718,0.318194,1.0356,1.0681,0.0325,252.709,253.011,0.119586,11.1239,10.0008,1.12306,-0.540765,0.0944981,13.6784,0.582293,0.151332,0.0425702,0.0110636
2019-07-26 12:26:52.925000+00:00,2019-07-28 00:00:00+00:00,ETH-2AUG19-230-C,C,230,2019-08-02 08:00:00+00:00,35.552,0.293485,0.317942,0.9532,0.9112,-0.042,217.247,206.483,-4.95449,6.34334,2.07812,4.26522,-5.04727,0.0800837,11.0651,-0.78205,-1.1387,-0.0706774,-0.10291
2019-09-27 12:25:48.757000+00:00,2019-09-29 00:00:00+00:00,ETH-4OCT19-170-C,C,170,2019-10-04 08:00:00+00:00,35.5698,0.293453,0.317907,0.9707,1.0265,0.0558,165.827,173.958,4.90292,6.95914,10.6323,-3.67314,4.07561,0.0613529,8.98611,0.40247,0.117811,0.044788,0.0131103
2019-12-06 12:40:13.119000+00:00,2019-12-08 00:00:00+00:00,ETH-13DEC19-150-C,C,150,2019-12-13 08:00:00+00:00,35.3297,0.293884,0.312252,0.5652,0.6056,0.0404,147.016,147.33,0.213624,3.24233,3.1357,0.106629,0.0470388,0.0444844,7.83113,0.153667,-0.0848917,0.0196226,-0.0108403
2020-01-17 12:37:42.726000+00:00,2020-01-19 00:00:00+00:00,ETH-24JAN20-170-C,C,170,2020-01-24 08:00:00+00:00,35.3715,0.293809,0.312172,0.7826,0.7373,-0.0453,168.968,174.35,3.18536,6.73234,8.53893,-1.8066,2.54323,0.0806983,9.2232,0.736637,0.42837,0.0798678,0.0464449
2020-01-24 11:34:02.768000+00:00,2020-01-26 00:00:00+00:00,ETH-31JAN20-160-C,C,160,2020-01-31 08:00:00+00:00,36.4326,0.291913,0.310158,0.5827,0.633,0.0503,159.014,159.795,0.490922,4.59456,4.77803,-0.183464,0.0651956,0.0700917,8.67379,-0.118268,-0.401155,-0.0136351,-0.0462491
2020-01-31 12:41:22.818000+00:00,2020-02-02 00:00:00+00:00,ETH-7FEB20-180-P,P,180,2020-02-07 08:00:00+00:00,35.3103,0.293919,0.312289,0.6231,0.6655,0.0424,178.037,183.697,3.17922,7.11861,4.17106,2.94756,-2.97422,0.0766416,9.68247,-0.026668,-0.342606,-0.00275426,-0.0353842
2020-02-07 12:22:50.665000+00:00,2020-02-09 00:00:00+00:00,ETH-14FEB20-230-C,C,230,2020-02-14 08:00:00+00:00,35.6193,0.293364,0.311699,0.8853,0.9127,0.0274,220.074,224.231,1.88888,6.61703,7.36997,-0.752935,1.23902,0.075357,11.4717,0.48608,0.12249,0.042372,0.0106775
2020-02-14 12:40:33.038000+00:00,2020-02-16 00:00:00+00:00,ETH-21FEB20-280-C,C,280,2020-02-21 08:00:00+00:00,35.3242,0.293894,0.312262,0.9514,1.0851,0.1337,271.602,262.898,-3.20501,10.5035,7.2477,3.25579,-4.71803,0.126483,14.6159,-1.46224,-1.94649,-0.100045,-0.133176
2020-02-28 12:38:34.847000+00:00,2020-03-01 00:00:00+00:00,ETH-1MAR20-215-P,P,215,2020-03-01 08:00:00+00:00,35.357,0.738059,0.807252,1.2656,1.3328,0.0672,215.049,219.889,2.25052,7.66703,1.57976,6.08727,-5.18288,0.121698,6.07344,0.904387,0.570176,0.148909,0.0938803
2020-03-06 12:44:05.132000+00:00,2020-03-08 00:00:00+00:00,ETH-8MAR20-240-C,C,240,2020-03-08 08:00:00+00:00,35.2652,0.739624,0.808963,0.5645,0.6984,0.1339,239.064,235.686,-1.41318,3.37315,0.542684,2.83047,-5.7409,0.253916,6.73891,-2.91043,-3.39492,-0.431885,-0.503779
2020-03-13 12:39:32.836000+00:00,2020-03-15 00:00:00+00:00,ETH-15MAR20-140-C,C,140,2020-03-15 08:00:00+00:00,35.3409,0.738333,0.830625,1.9013,2.153,0.2517,132.711,121.651,-8.33432,4.24832,0.046545,4.20177,-2.86072,0.0640495,3.55411,1.34106,1.18337,0.377326,0.332959
2020-03-27 12:01:48.855000+00:00,2020-03-29 00:00:00+00:00,ETH-3APR20-140-C,C,140,2020-04-03 08:00:00+00:00,35.9698,0.292737,0.317132,1.0358,0.9511,-0.0847,135.525,131.132,-3.24164,5.74828,2.75915,2.98913,-2.87862,0.0535251,7.30557,0.110505,-0.121689,0.0151262,-0.016657
2020-04-17 12:37:48.481000+00:00,2020-04-19 00:00:00+00:00,ETH-19APR20-170-P,P,170,2020-04-19 08:00:00+00:00,35.3699,0.737839,0.830069,0.9655,1.7635,0.798,169.711,189.186,11.4756,4.78177,0.0797124,4.70206,-4.32082,0.086707,4.79817,0.381237,0.168846,0.0794546,0.0351897
2020-05-08 11:33:01.238000+00:00,2020-05-10 00:00:00+00:00,ETH-15MAY20-220-C,C,220,2020-05-15 08:00:00+00:00,36.4497,0.291883,0.316206,0.7851,0.7883,0.0032,212.415,209.053,-1.58293,5.95787,3.81964,2.13823,-1.23226,0.0619006,11.1711,0.905969,0.566747,0.0810997,0.0507335
2020-06-05 11:25:07.889000+00:00,2020-06-07 00:00:00+00:00,ETH-7JUN20-245-C,C,245,2020-06-07 08:00:00+00:00,36.5811,0.717792,0.807516,0.6573,0.6661,0.00879997,243.863,241.708,-0.883621,3.99612,0.733549,3.26257,-1.34096,0.127617,6.87473,1.92161,1.55546,0.279518,0.226258
2020-07-03 12:30:21.659000+00:00,2020-07-05 00:00:00+00:00,ETH-10JUL20-230-P,P,230,2020-07-10 08:00:00+00:00,35.494,0.293589,0.318055,0.3201,0.3514,0.0313,227.186,228.698,0.665736,5.55775,4.5718,0.98595,-1.71481,0.102428,11.9915,-0.728857,-1.13001,-0.0607813,-0.0942348
2020-10-02 12:27:41.749000+00:00,2020-10-04 00:00:00+00:00,ETH-4OCT20-340-C,C,340,2020-10-04 08:00:00+00:00,35.5384,0.734983,0.826856,0.8186,0.7398,-0.0788,338.93,347.242,2.45234,7.33236,7.95461,-0.622244,2.57408,0.167028,9.57977,1.95184,1.44957,0.203746,0.151316
2020-10-16 11:53:52.146000+00:00,2020-10-18 00:00:00+00:00,ETH-18OCT20-370-C,C,370,2020-10-18 08:00:00+00:00,36.1022,0.725588,0.816286,0.5287,0.5208,-0.00789997,368.953,368.942,-0.00288638,5.01508,1.82929,3.1858,-1.49438,0.180564,10.4148,1.69141,1.14881,0.162404,0.110305
2020-10-30 12:17:31.727000+00:00,2020-11-01 00:00:00+00:00,ETH-1NOV20-380-C,C,380,2020-11-01 08:00:00+00:00,35.7079,0.732134,0.823651,0.4887,0.5222,0.0335,378.609,387.311,2.29864,4.57437,7.64571,-3.07134,5.38789,0.237594,10.6628,2.31655,1.70517,0.217256,0.159918
