currency,year,n_trades,volume_coin,n_instruments,block_share,combo_share,liq_share,taker_buy_share
BTC,2016,99,150.25,25,0.0,0.0,0.0,0.47474747474747475
BTC,2017,57232,39861.52,1396,0.0,0.0,0.0,0.49853228962818
BTC,2018,186575,307522.3,1618,0.0,0.0,0.010060297467506365,0.5051266246817634
BTC,2019,432503,1309728.0,2052,0.0007976823282150644,0.0,0.008737511647318053,0.5080057248157817
BTC,2020,1324730,4487491.8,10624,0.003215749624451775,0.0,0.008294520392834766,0.48341397869754593
BTC,2021,2933039,5842558.3,10327,0.008362316355152454,0.0,0.008509603861387455,0.4809813302857548
BTC,2022,2963267,6518392.1,8700,0.01283785767532929,0.0029909555905694627,0.0015023958354073393,0.4500127730643239
BTC,2023,3563983,8550340.8,14330,0.017347445259980197,0.013188334512257774,0.0017570229712094586,0.4399717956005963
BTC,2024,5057573,8134610.8,20074,0.01283659178028671,0.012714398783764467,0.001938676910842414,0.48642164927723236
BTC,2025,5303254,11023790.2,16066,0.018443204870066565,0.02223087938084806,0.00185640740571732,0.5059508746893888
BTC,2026,2527699,5970814.8,9894,0.01616015198012105,0.01825494253864879,0.0023040718060180427,0.5130531760308487
ETH,2019,75980,2479073.0,1250,0.0003290339563042906,0.0,0.05618583837852066,0.496933403527244
ETH,2020,444312,19128691.0,7562,0.0017240137560993176,0.0,0.01807963773204415,0.5036505878751868
ETH,2021,1963152,35753001.0,14396,0.005810044255360767,0.0,0.004540657065779929,0.4847485064834511
ETH,2022,3387038,76015442.0,9244,0.011201232463290934,0.002845849382262614,0.001374061938484304,0.4331200299494721
ETH,2023,2904854,70622319.0,10814,0.012599256279317309,0.008813523846637387,0.0014523965748364635,0.4325305161636351
ETH,2024,3090343,63520496.0,19178,0.01143627098998396,0.01078974081517812,0.004688476327708607,0.48224679266993986
ETH,2025,3274721,67621947.0,19766,0.013454581321584343,0.014043944507028233,0.0036308436657657246,0.507124423729533
ETH,2026,1066932,31417917.0,8880,0.01303738195123963,0.014872550453074798,0.005041558412344929,0.49945451069046576
