asset,trunc_c,tod,step_minutes,jump_share_wd,jump_share_we,realized_ratio,jump_ratio,implied_ratio,bound_lo,bound_hi,implied_inside_bound,kappa_star
BTC,2.5,True,5,0.422512,0.449728,0.583748,0.621349,0.635027,0.583748,0.621349,False,
BTC,2.5,False,5,0.432501,0.457779,0.583748,0.617866,0.635027,0.583748,0.617866,False,
BTC,3.0,True,5,0.352815,0.378204,0.583748,0.625756,0.635027,0.583748,0.625756,False,
BTC,3.0,False,5,0.360702,0.388979,0.583748,0.629511,0.635027,0.583748,0.629511,False,
BTC,4.0,True,5,0.256148,0.284523,0.583748,0.648412,0.635027,0.583748,0.648412,True,15.955609
BTC,4.0,False,5,0.263169,0.291383,0.583748,0.646332,0.635027,0.583748,0.646332,True,18.235048
BTC,5.0,True,5,0.205411,0.225097,0.583748,0.639693,0.635027,0.583748,0.639693,True,54.499257
BTC,5.0,False,5,0.196899,0.221978,0.583748,0.658101,0.635027,0.583748,0.658101,True,12.286283
BTC,3.0,True,15,0.338923,0.352388,0.576191,0.599083,0.635027,0.576191,0.599083,False,
BTC,3.0,True,30,0.308452,0.349214,0.595691,0.674413,0.635027,0.595691,0.674413,True,4.237763
BTC,3.0,True,60,0.309301,0.300869,0.560954,0.545661,0.635027,0.545661,0.560954,False,
ETH,2.5,True,5,0.394385,0.390259,0.606687,0.60034,0.645406,0.60034,0.606687,False,
ETH,2.5,False,5,0.404657,0.402885,0.606687,0.604031,0.645406,0.604031,0.606687,False,
ETH,3.0,True,5,0.320186,0.307935,0.606687,0.583473,0.645406,0.583473,0.606687,False,
ETH,3.0,False,5,0.333266,0.322105,0.606687,0.58637,0.645406,0.58637,0.606687,False,
ETH,4.0,True,5,0.225594,0.212152,0.606687,0.570536,0.645406,0.570536,0.606687,False,
ETH,4.0,False,5,0.231881,0.221511,0.606687,0.579556,0.645406,0.579556,0.606687,False,
ETH,5.0,True,5,0.167113,0.161853,0.606687,0.587592,0.645406,0.587592,0.606687,False,
ETH,5.0,False,5,0.16729,0.167304,0.606687,0.606736,0.645406,0.606687,0.606736,False,
ETH,3.0,True,15,0.307075,0.287159,0.614325,0.574482,0.645406,0.574482,0.614325,False,
ETH,3.0,True,30,0.267193,0.281622,0.62598,0.659785,0.645406,0.62598,0.659785,True,6.056157
ETH,3.0,True,60,0.245418,0.227349,0.607691,0.562948,0.645406,0.562948,0.607691,False,
SOL,2.5,True,5,0.328158,0.378578,0.655853,0.756622,0.558387,0.655853,0.756622,False,
SOL,2.5,False,5,0.345189,0.388118,0.655853,0.737418,0.558387,0.655853,0.737418,False,
SOL,3.0,True,5,0.23993,0.286405,0.655853,0.782894,0.558387,0.655853,0.782894,False,
SOL,3.0,False,5,0.257225,0.282687,0.655853,0.720775,0.558387,0.655853,0.720775,False,
SOL,4.0,True,5,0.140459,0.186356,0.655853,0.870163,0.558387,0.655853,0.870163,False,
SOL,4.0,False,5,0.154135,0.190227,0.655853,0.809426,0.558387,0.655853,0.809426,False,
SOL,5.0,True,5,0.098321,0.131956,0.655853,0.880218,0.558387,0.655853,0.880218,False,
SOL,5.0,False,5,0.109484,0.135179,0.655853,0.809778,0.558387,0.655853,0.809778,False,
SOL,3.0,True,15,0.222917,0.219818,0.598033,0.589719,0.558387,0.589719,0.598033,False,
SOL,3.0,True,30,0.195145,0.197136,0.594207,0.600272,0.558387,0.594207,0.600272,False,
SOL,3.0,True,60,0.170443,0.251025,0.643834,0.948223,0.558387,0.643834,0.948223,False,
XRP,2.5,True,5,0.44089,0.449046,0.623306,0.634836,0.487548,0.623306,0.634836,False,
XRP,2.5,False,5,0.442635,0.45393,0.623306,0.639211,0.487548,0.623306,0.639211,False,
XRP,3.0,True,5,0.358471,0.369229,0.623306,0.642012,0.487548,0.623306,0.642012,False,
XRP,3.0,False,5,0.365363,0.358146,0.623306,0.610994,0.487548,0.610994,0.623306,False,
XRP,4.0,True,5,0.252208,0.252408,0.623306,0.623799,0.487548,0.623306,0.623799,False,
XRP,4.0,False,5,0.258086,0.243893,0.623306,0.589029,0.487548,0.589029,0.623306,False,
XRP,5.0,True,5,0.180678,0.166713,0.623306,0.575127,0.487548,0.575127,0.623306,False,
XRP,5.0,False,5,0.189047,0.159629,0.623306,0.526311,0.487548,0.526311,0.623306,False,
XRP,3.0,True,15,0.338331,0.286913,0.56349,0.477854,0.487548,0.477854,0.56349,True,24.15445
XRP,3.0,True,30,0.296436,0.238086,0.603426,0.484648,0.487548,0.484648,0.603426,True,135.807556
XRP,3.0,True,60,0.217531,0.287723,0.703563,0.930588,0.487548,0.703563,0.930588,False,
