currency,bucket,atmness_mean,iv2_mean,n,n_days,slope,se,t,v_weekday_implied,implied_ratio,implied_ratio_se
BTC,far wing,0.056716,0.62947,3095387,3346,-0.329525,0.02274,-14.491109,0.698645,0.528337,0.032548
BTC,wing,0.147537,0.487584,2814844,3393,-0.207453,0.023509,-8.824297,0.53063,0.609044,0.044304
BTC,near,0.274573,0.440474,3500047,3410,-0.172206,0.021427,-8.036767,0.476656,0.638721,0.044953
BTC,at the money,0.430892,0.402459,4180474,3406,-0.161905,0.014244,-11.36685,0.437293,0.629757,0.032572
ETH,far wing,0.057391,0.941312,2031350,2703,-0.479105,0.044269,-10.822656,1.046681,0.542263,0.042294
ETH,wing,0.148176,0.766379,1917559,2703,-0.321326,0.04331,-7.419155,0.835539,0.615427,0.051835
ETH,near,0.273361,0.684834,2416419,2703,-0.263197,0.029716,-8.857025,0.741733,0.645159,0.040063
ETH,at the money,0.430958,0.633347,2851778,2703,-0.247966,0.027433,-9.038795,0.687533,0.63934,0.039901
SOL,far wing,0.062999,1.154171,66571,886,-0.706473,0.140058,-5.04414,1.289562,0.452161,0.108609
SOL,wing,0.150389,0.878863,85805,886,-0.335729,0.089413,-3.75481,0.950954,0.646956,0.094025
SOL,near,0.273848,0.774032,119973,886,-0.377797,0.029039,-13.010195,0.853994,0.557612,0.034003
SOL,at the money,0.429068,0.725976,150570,886,-0.35125,0.0226,-15.54174,0.798872,0.560318,0.02829
XRP,far wing,0.063406,1.478414,18290,851,-1.086289,0.156721,-6.931338,1.707587,0.363846,0.091779
XRP,wing,0.151937,1.247482,24673,860,-0.705086,0.10033,-7.027648,1.404624,0.498025,0.071429
XRP,near,0.274631,1.070296,33834,868,-0.60542,0.067718,-8.940361,1.201758,0.496221,0.056349
XRP,at the money,0.432025,0.957751,58648,883,-0.538056,0.069043,-7.793018,1.05941,0.492118,0.065171
