asset,step_minutes,n_days,n_wd,n_we,var_weekday,var_weekend,variance_ratio,se_ratio,zero_share_wd,zero_share_we
BTC,5,2922,2088,834,0.001419,0.000828,0.583748,0.057115,0.025897,0.047029
BTC,15,2922,2088,834,0.001383,0.000797,0.576191,0.054251,0.010075,0.017124
BTC,30,2922,2088,834,0.001318,0.000785,0.595691,0.055008,0.005748,0.010442
BTC,60,2921,2087,834,0.001325,0.000743,0.560954,0.051389,0.003373,0.004946
BTC,120,2921,2087,834,0.001302,0.000713,0.5477,0.055571,0.002555,0.003297
ETH,5,2703,1931,772,0.002253,0.001367,0.606687,0.053996,0.023148,0.033922
ETH,15,2703,1931,772,0.002162,0.001328,0.614325,0.051352,0.011496,0.015369
ETH,30,2703,1931,772,0.002075,0.001299,0.62598,0.052466,0.007995,0.009823
ETH,60,2703,1931,772,0.002046,0.001243,0.607691,0.046341,0.006344,0.007448
ETH,120,2703,1931,772,0.002055,0.001228,0.597428,0.049464,0.003755,0.004534
SOL,5,914,654,260,0.002409,0.00158,0.655853,0.097465,0.059506,0.124773
SOL,15,914,654,260,0.00234,0.001399,0.598033,0.0713,0.01408,0.030088
SOL,30,914,654,260,0.00219,0.001301,0.594207,0.063692,0.008729,0.013622
SOL,60,914,654,260,0.002135,0.001375,0.643834,0.082792,0.004524,0.008494
SOL,120,914,654,260,0.002028,0.001251,0.61682,0.074382,0.004205,0.005128
XRP,5,886,634,252,0.002551,0.00159,0.623306,0.105108,0.174834,0.287502
XRP,15,886,634,252,0.002551,0.001437,0.56349,0.10691,0.046614,0.106477
XRP,30,886,634,252,0.002319,0.0014,0.603426,0.105746,0.018009,0.046375
XRP,60,886,634,252,0.002094,0.001473,0.703563,0.133135,0.008413,0.017028
XRP,120,886,634,252,0.002002,0.001286,0.642476,0.120528,0.005653,0.012562
PAXG,5,619,442,177,0.000221,7.6e-05,0.34466,0.072024,0.776894,0.882889
PAXG,15,619,442,177,0.000215,6.7e-05,0.310641,0.066871,0.566533,0.751179
PAXG,30,619,442,177,0.000211,6.1e-05,0.287379,0.064238,0.397803,0.624853
PAXG,60,619,442,177,0.000205,5e-05,0.24638,0.057889,0.229493,0.469229
PAXG,120,619,442,177,0.000206,3.9e-05,0.188117,0.047761,0.095624,0.314003
