asset,window,n,n_days,slope,slope_se,implied_ratio,implied_ratio_se,realized_ratio,realized_ratio_se,n_we,n_wd,rel_effect,gap,gap_se,gap_t
BTC,full,5339133,3413,-0.160896,0.014953,0.635613,0.033865,0.584027,0.057143,834,2089,-0.471992,0.051586,0.066424,0.776608
ETH,full,3624938,2703,-0.246273,0.027697,0.645179,0.039905,0.607002,0.054025,772,1932,-0.442667,0.038177,0.067165,0.568415
SOL,full,189906,886,-0.352896,0.023627,0.562827,0.029269,0.656855,0.097619,260,655,-0.380218,-0.094028,0.101912,-0.922637
XRP,full,70128,885,-0.549797,0.069402,0.488835,0.064526,0.620729,0.104696,253,634,-0.425278,-0.131894,0.122983,-1.072459
BTC,2020+,5197415,2417,-0.157844,0.01514,0.633333,0.03517,0.538337,0.060432,690,1728,-0.53171,0.094996,0.069921,1.358622
ETH,2020+,3610427,2417,-0.245709,0.027755,0.645386,0.040057,0.597958,0.058532,690,1728,-0.454145,0.047428,0.070926,0.668697
SOL,2020+,189906,886,-0.352896,0.023627,0.562827,0.029269,0.656855,0.097619,260,655,-0.380218,-0.094028,0.101912,-0.922637
XRP,2020+,70128,885,-0.549797,0.069402,0.488835,0.064526,0.620729,0.104696,253,634,-0.425278,-0.131894,0.122983,-1.072459
BTC,2022+,4214823,1686,-0.18097,0.01678,0.482052,0.048026,0.443023,0.037318,482,1205,-0.662386,0.039029,0.06082,0.641714
ETH,2022+,3039486,1686,-0.283177,0.027667,0.516398,0.047249,0.547415,0.044961,482,1205,-0.5198,-0.031017,0.065222,-0.475565
SOL,2022+,189906,886,-0.352896,0.023627,0.562827,0.029269,0.656855,0.097619,260,655,-0.380218,-0.094028,0.101912,-0.922637
XRP,2022+,70128,885,-0.549797,0.069402,0.488835,0.064526,0.620729,0.104696,253,634,-0.425278,-0.131894,0.122983,-1.072459
BTC,matched,2434740,885,-0.162959,0.013877,0.444555,0.0473,0.437347,0.043235,252,634,-0.669851,0.007208,0.064083,0.112475
ETH,matched,1524790,885,-0.277142,0.017339,0.474859,0.032854,0.547702,0.054242,252,634,-0.519074,-0.072843,0.063416,-1.148661
SOL,matched,189861,885,-0.352956,0.02363,0.562629,0.029282,0.673749,0.102791,252,634,-0.359621,-0.11112,0.10688,-1.039674
XRP,matched,70128,885,-0.549797,0.069402,0.488835,0.064526,0.620729,0.104696,253,634,-0.425278,-0.131894,0.122983,-1.072459
BTC,first years,77621,826,0.88357,0.313067,2.077224,0.381682,0.739678,0.143712,96,239,-0.281308,1.337546,0.407841,3.279573
ETH,first years,400487,885,-0.050918,0.129334,0.965689,0.087151,0.655937,0.096124,253,632,-0.381597,0.309752,0.12975,2.387295
SOL,first years,189808,885,-0.353029,0.023638,0.56285,0.02927,0.671529,0.102417,252,633,-0.362363,-0.108679,0.106518,-1.020295
XRP,first years,70110,884,-0.549817,0.0694,0.48891,0.064512,0.622297,0.104934,252,633,-0.423221,-0.133386,0.123178,-1.082873
