asset,year,n,n_days,slope,slope_se,implied_ratio,implied_ratio_se,rel_implied,rel_implied_se,gap,realized_ratio,realized_ratio_se,n_we,n_wd,rel_effect
BTC,2017,9982,266,4.815219,2.373924,5.521172,2.228957,2.669609,1.316129,,,,,,
BTC,2018,27659,365,0.822995,0.435608,1.947377,0.501443,0.844084,0.446771,1.279508,0.667869,0.234806,40.0,100.0,-0.366952
BTC,2019,104077,365,0.343002,0.20117,1.566568,0.33229,0.522113,0.306217,0.742431,0.824137,0.173857,104.0,261.0,-0.18514
BTC,2020,322821,366,-0.047461,0.06848,0.906191,0.135355,-0.09559,0.137924,0.385426,0.520764,0.175456,104.0,262.0,-0.554784
BTC,2021,659771,365,-0.062979,0.03719,0.93107,0.040705,-0.069922,0.04129,0.236889,0.694181,0.127855,104.0,261.0,-0.335011
BTC,2022,613658,365,-0.347359,0.098477,0.476737,0.148346,-0.586196,0.166188,-0.024977,0.501714,0.083337,105.0,260.0,-0.581664
BTC,2023,888515,365,-0.107848,0.014455,0.580157,0.056274,-0.461927,0.061914,0.174761,0.405396,0.074763,105.0,260.0,-0.717298
BTC,2024,1156181,366,-0.185217,0.018659,0.506078,0.049758,-0.550322,0.05544,0.123048,0.383029,0.058535,104.0,262.0,-0.748128
BTC,2025,1094272,365,-0.143124,0.010733,0.424167,0.043183,-0.663668,0.049769,0.034308,0.389859,0.059467,104.0,261.0,-0.738534
BTC,2026,462197,225,-0.201458,0.048571,0.295504,0.169852,-0.850783,0.205122,-0.234848,0.530352,0.093772,64.0,162.0,-0.541692
ETH,2019,14511,286,0.576559,0.256439,1.697702,0.310321,0.627374,0.279041,1.018171,0.679531,0.119482,82.0,204.0,-0.352894
ETH,2020,89686,366,0.000922,0.038053,1.001254,0.051797,0.001254,0.051785,0.304872,0.696382,0.16561,104.0,262.0,-0.332285
ETH,2021,481255,365,-0.064247,0.108114,0.952994,0.0791,-0.047488,0.079911,0.338235,0.614759,0.133457,104.0,261.0,-0.432742
ETH,2022,650962,365,-0.475473,0.121939,0.545793,0.116485,-0.500546,0.128369,-0.043431,0.589224,0.090814,105.0,260.0,-0.465821
ETH,2023,654791,365,-0.122782,0.014041,0.581332,0.047879,-0.461681,0.052798,0.069938,0.511394,0.104385,105.0,260.0,-0.568516
ETH,2024,715277,366,-0.283333,0.028853,0.448933,0.056118,-0.62465,0.063611,-0.005349,0.454283,0.080957,104.0,262.0,-0.645871
ETH,2025,762950,365,-0.284196,0.017201,0.48743,0.031023,-0.580864,0.035157,-0.066544,0.553974,0.078504,104.0,261.0,-0.510963
ETH,2026,255506,225,-0.238146,0.045706,0.471599,0.101412,-0.604291,0.115977,-0.135634,0.607233,0.106808,64.0,162.0,-0.44192
SOL,2024,63067,296,-0.346971,0.035025,0.603013,0.040074,-0.432538,0.043662,-0.0652,0.668213,0.178333,92.0,232.0,-0.366296
SOL,2025,87093,365,-0.419931,0.033554,0.532115,0.037386,-0.517896,0.041382,-0.117158,0.649273,0.136067,104.0,261.0,-0.389667
SOL,2026,39746,225,-0.209917,0.05731,0.582016,0.114116,-0.457527,0.124912,-0.061278,0.643294,0.108568,64.0,162.0,-0.396787
XRP,2024,22359,294,-0.862033,0.187262,0.445679,0.120417,-0.619371,0.134548,-0.295341,0.74102,0.18747,84.0,211.0,-0.279599
XRP,2025,33595,365,-0.466808,0.051139,0.522177,0.052345,-0.52843,0.057889,0.010718,0.51146,0.134881,104.0,261.0,-0.567543
XRP,2026,14174,226,-0.206998,0.075538,0.62189,0.13798,-0.404586,0.147642,-0.033158,0.655048,0.122404,65.0,162.0,-0.382759
