asset,year,n,within_day_sd,raw_sd
BTC,2017,9982,0.043614,0.127237
BTC,2018,27659,0.06632,0.127573
BTC,2019,104077,0.083367,0.124133
BTC,2020,322821,0.170641,0.24041
BTC,2021,659771,0.169664,0.248612
BTC,2022,613658,0.170543,0.252767
BTC,2023,888515,0.176951,0.274224
BTC,2024,1156181,0.171181,0.259262
BTC,2025,1094272,0.179271,0.271771
BTC,2026,462197,0.187802,0.277543
ETH,2019,14511,0.08386,0.120302
ETH,2020,89686,0.167698,0.234562
ETH,2021,481255,0.178161,0.262686
ETH,2022,650962,0.171168,0.261574
ETH,2023,654791,0.177234,0.274345
ETH,2024,715277,0.17581,0.260175
ETH,2025,762950,0.180755,0.264988
ETH,2026,255506,0.181706,0.278944
SOL,2024,63067,0.166413,0.265401
SOL,2025,87093,0.166423,0.250082
SOL,2026,39746,0.159487,0.223165
XRP,2024,22359,0.148132,0.239991
XRP,2025,33595,0.159774,0.248608
XRP,2026,14174,0.143121,0.247236
