asset,band,purged,n,n_days,slope_far_wing,slope_wing,slope_near,slope_at_the_money,iv2_far_wing,iv2_wing,iv2_near,iv2_at_the_money,amp,log_amp,log_amp_se,amp_bound_quadratic,t,eta,eta_se,ceiling,n_wing,theta,theta_se,t_vs_ceiling,p_theta0,p_theta1,amp_bound
BTC,pooled,True,13590752,3422,-0.516756,-0.41961,-0.381115,-0.394151,0.62947,0.487584,0.440474,0.402459,1.31106,0.270836,0.075266,1.564062,3.598383,0.945511,0.006897,1.896653,2527235.0,0.346912,0.110052,-4.906002,0.00032,1e-06,
BTC,under 1d,True,3715963,2657,-0.756664,-0.377043,-0.108731,-0.346336,0.612703,0.48361,0.440345,0.388128,2.184767,0.781509,0.46644,1.57861,1.675478,0.94475,0.012385,1.895285,856032.0,1.323342,1.138255,0.304735,0.093841,0.760568,
BTC,1-3d,True,4337152,2814,-0.506856,-0.406001,-0.414515,-0.441604,0.59239,0.470359,0.418242,0.381214,1.147761,0.137813,0.067718,1.553954,2.035116,1.059555,0.00678,2.126653,815129.0,0.131151,0.068986,-9.107466,0.041839,0.0,
BTC,3-7d,True,2450217,2524,-0.338845,-0.303336,-0.388984,-0.385162,0.675403,0.505863,0.464014,0.436411,0.879748,-0.12812,0.388334,1.547632,-0.329922,1.078531,0.011722,2.170448,409820.0,-0.10274,0.291885,-2.325453,0.741459,0.020048,
BTC,7-14d,True,3087420,2957,-44.058659,-23.174288,-36.410658,-32.787021,0.68122,0.49934,0.451651,0.421973,1.343784,0.295489,0.177751,1.614368,1.662375,1.003312,0.010021,2.006645,453772.0,0.341514,0.237282,-2.255822,0.096438,0.024082,
BTC,pooled,False,13590752,3422,-0.504946,-0.426267,-0.390615,-0.402708,0.62947,0.487584,0.440474,0.402459,1.253877,0.22624,0.066838,1.564062,3.384908,0.945511,0.006897,1.896653,2527235.0,0.283138,0.093466,-6.191851,0.000712,0.0,
ETH,pooled,True,9217106,2703,-0.499582,-0.414925,-0.386002,-0.392648,0.941312,0.766379,0.684834,0.633347,1.272342,0.240859,0.053642,1.486251,4.490094,0.904246,0.006384,1.825228,1610714.0,0.330021,0.082706,-6.726869,7e-06,0.0,
ETH,under 1d,True,2647001,2460,-0.824141,-0.583302,-0.335281,-0.245191,0.936372,0.807514,0.698962,0.639372,3.361218,1.212303,0.323368,1.464518,3.748986,0.879576,0.010634,1.785038,547158.0,3.007775,1.384534,1.957098,0.000178,0.050336,
ETH,1-3d,True,2945384,2511,-0.492864,-0.43838,-0.41473,-0.450871,0.917746,0.757969,0.67738,0.613026,1.093137,0.089052,0.065867,1.497077,1.351995,1.028191,0.007358,2.058018,513934.0,0.08803,0.068053,-9.605598,0.176377,0.0,
ETH,3-7d,True,1545353,2034,-0.66862,-0.446066,-0.590675,-0.492922,0.958986,0.735287,0.676394,0.648621,1.356443,0.304866,0.127514,1.4785,2.390843,1.044317,0.01357,2.092744,274570.0,0.326191,0.158285,-3.400495,0.01681,0.000673,
ETH,7-14d,True,2079368,2700,-20.886972,-37.900513,-35.107078,-21.850213,0.974202,0.753192,0.684048,0.645077,0.955916,-0.045085,0.595159,1.510209,-0.075753,0.986418,0.013396,1.973199,279968.0,-0.045298,0.58459,-1.217727,0.939616,0.223328,
ETH,pooled,False,9217106,2703,-0.492447,-0.420504,-0.387253,-0.393065,0.941312,0.766379,0.684834,0.633347,1.252837,0.225411,0.053727,1.486251,4.195459,0.904246,0.006384,1.825228,1610714.0,0.306385,0.081567,-7.00377,2.7e-05,0.0,
SOL,pooled,True,422919,886,-0.659068,-0.409944,-0.492285,-0.455694,1.154171,0.878863,0.774032,0.725976,1.446297,0.369006,0.170374,1.58982,2.165867,1.002051,0.025315,2.004111,47914.0,0.44447,0.245402,-1.914581,0.030321,0.055546,
SOL,under 1d,True,93075,885,-2.072637,-0.899553,0.023756,-0.417198,1.456439,0.948924,0.815051,0.788792,4.968,1.603017,0.771715,1.846418,2.077214,1.149052,0.043437,2.35032,11742.0,2.938563,2.839238,0.969874,0.037782,0.332109,
SOL,1-3d,True,122957,886,-0.669242,-0.66829,-0.746171,-0.682256,1.075435,0.852603,0.724041,0.722799,0.980924,-0.01926,0.129981,1.487876,-0.148176,1.105203,0.031386,2.235143,12405.0,-0.015444,0.103228,-6.336044,0.882204,0.0,
SOL,3-7d,True,86003,632,-0.0,-0.0,-0.0,-0.0,1.113179,0.884143,0.876117,0.729827,0.112338,-2.18624,2.469631,1.525264,-0.88525,1.018239,0.058186,2.037156,10280.0,-0.855861,0.267495,-1.173371,0.376022,0.240647,
