asset,band,n_cells,n_days,dropped_concave,b_level,se_level,t_level,b_curv,se_curv,t_curv,b_ratio,se_ratio,t_ratio,b_curv_nospan,se_curv_nospan,t_curv_nospan,theta_naive,theta_naive_nospan,span_sensitivity
BTC,pooled,13714,3335,71,-0.572341,0.018966,-30.176785,0.044082,0.013985,3.151981,0.616423,0.027596,22.337585,-0.01538,0.014456,-1.063952,-0.07702,0.026873,0.059462
BTC,under 1d,4604,2572,18,-0.417167,0.050285,-8.296111,0.088891,0.040288,2.206364,0.506058,0.073828,6.854542,-0.016359,0.042093,-0.388639,-0.213082,0.039214,0.10525
BTC,1-3d,6510,2755,20,-0.922094,0.027732,-33.250234,0.281005,0.023946,11.735123,1.203099,0.044437,27.074102,0.191559,0.025254,7.585337,-0.304747,-0.207744,0.089446
BTC,3-7d,2941,2428,40,-0.619808,0.052467,-11.813232,0.248326,0.074107,3.350925,0.868134,0.095232,9.115968,0.206436,0.079452,2.598242,-0.400649,-0.333064,0.04189
BTC,7-14d,3326,2930,13,-21.535398,5.081014,-4.238405,-5.77599,7.079806,-0.81584,15.759407,10.453744,1.507537,-9.666447,6.782174,-1.425273,0.268209,0.448863,3.890456
ETH,pooled,12688,2701,71,-0.481077,0.016748,-28.725094,0.054154,0.015229,3.556059,0.535231,0.025751,20.785062,-0.015062,0.015685,-0.960294,-0.112568,0.031309,0.069216
ETH,under 1d,4364,2417,28,-0.285065,0.046581,-6.119797,-0.054044,0.046274,-1.167901,0.231021,0.073803,3.130234,-0.137956,0.049107,-2.809257,0.189584,0.483945,0.083912
ETH,1-3d,6169,2488,22,-0.762137,0.021475,-35.490063,0.273328,0.026375,10.363224,1.035465,0.038827,26.668946,0.159085,0.026809,5.934061,-0.358633,-0.208735,0.114242
ETH,3-7d,2520,2015,8,-0.597917,0.043034,-13.894046,0.105881,0.06858,1.543915,0.703798,0.080769,8.713748,0.101326,0.072899,1.389953,-0.177084,-0.169466,0.004555
ETH,7-14d,3024,2656,30,-18.396094,3.74112,-4.917269,4.675906,8.668083,0.539439,23.072,10.657492,2.164862,-0.762212,9.102456,-0.083737,-0.254179,0.041433,5.438118
SOL,pooled,3188,886,105,-0.619731,0.031922,-19.414156,0.215748,0.059834,3.605768,0.835479,0.077291,10.809508,-0.005349,0.060655,-0.088181,-0.348132,0.008631,0.221097
SOL,under 1d,909,810,51,-0.278481,0.218725,-1.2732,0.693569,0.357953,1.937597,0.97205,0.453807,2.141991,0.35191,0.311833,1.128519,-2.490541,-1.263676,0.341659
SOL,1-3d,1522,814,99,-0.849671,0.040897,-20.77594,0.601453,0.183392,3.279596,1.451124,0.199225,7.283849,0.346188,0.182473,1.897205,-0.707865,-0.407438,0.255265
SOL,3-7d,605,605,6,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,
SOL,7-14d,982,866,8,1.931323,3.889312,0.496572,25.99621,20.997154,1.238083,24.064887,22.843804,1.053454,13.347788,19.716954,0.67697,13.460313,6.911215,12.648422
XRP,pooled,2174,793,108,-0.632511,0.031994,-19.769382,0.115901,0.092359,1.2549,0.748412,0.102485,7.302667,0.056773,0.093956,0.60425,-0.18324,-0.089758,0.059128
XRP,under 1d,521,501,41,-1.025021,0.342096,-2.996297,1.905831,1.15249,1.653665,2.930852,1.336006,2.193742,1.74758,1.134318,1.540644,-1.85931,-1.704922,0.158251
XRP,1-3d,713,517,59,-0.751243,0.09859,-7.619878,-0.232036,0.285792,-0.811904,0.519207,0.323019,1.607355,-0.511365,0.28623,-1.786552,0.308869,0.680692,0.279329
XRP,3-7d,429,429,13,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,
XRP,7-14d,696,640,21,-4.183743,3.672107,-1.13933,12.867847,14.880305,0.864757,17.05159,15.831697,1.077054,9.15807,15.1711,0.603652,-3.075678,-2.188966,3.709777
