asset,band,n,expiries_per_day,sd_within_day,between_expiry_share
BTC,under 1d,3715963,1.896876,0.106446,0.451237
BTC,1-3d,4337152,2.335466,0.127971,0.889088
BTC,3-7d,2450217,1.203249,0.041801,0.65544
BTC,7-14d,3087420,1.134596,0.008589,0.063726
ETH,under 1d,2647001,1.955691,0.101386,0.390027
ETH,1-3d,2945384,2.490243,0.130434,0.899294
ETH,3-7d,1545353,1.252212,0.042053,0.65194
ETH,7-14d,2079368,1.142593,0.008664,0.059958
SOL,under 1d,93075,1.734463,0.101099,0.386347
SOL,1-3d,122957,2.130926,0.119618,0.914937
SOL,3-7d,86003,1.0,0.025334,0.0
SOL,7-14d,120884,1.142212,0.008821,0.058651
XRP,under 1d,33395,1.436406,0.100778,0.391248
XRP,1-3d,38430,2.004598,0.111109,0.921696
XRP,3-7d,24961,1.0,0.025829,0.0
XRP,7-14d,38659,1.132269,0.008314,0.05583
