asset,step_minutes,moment,n,n_months,log_ratio_mid,log_ratio_mid_se,ratio_mid,trend_per_year,trend_se,t,p,span_years,ratio_first,ratio_last
BTC,5,arithmetic,2417,80,-0.70593,0.066368,0.493649,-0.06201,0.052161,-1.188822,0.23451,6.614648,0.606021,0.402115
BTC,5,geometric,2417,80,-0.827038,0.038262,0.437343,-0.135572,0.017988,-7.536891,0.0,6.614648,0.684779,0.279314
BTC,15,arithmetic,2417,80,-0.730871,0.06443,0.481489,-0.067635,0.055317,-1.222686,0.221448,6.614648,0.602191,0.38498
BTC,15,geometric,2417,80,-0.851701,0.041364,0.426689,-0.137407,0.020408,-6.733049,0.0,6.614648,0.672165,0.270861
BTC,30,arithmetic,2417,80,-0.724301,0.06386,0.484663,-0.096106,0.041688,-2.305375,0.021146,6.614648,0.666012,0.352694
BTC,30,geometric,2417,80,-0.879752,0.04239,0.414886,-0.158418,0.021254,-7.453383,0.0,6.614648,0.700603,0.245688
BTC,60,arithmetic,2417,80,-0.804815,0.060811,0.447171,-0.104792,0.031287,-3.349429,0.00081,6.614648,0.632399,0.316195
BTC,60,geometric,2417,80,-0.948072,0.044684,0.387487,-0.166643,0.022419,-7.433041,0.0,6.614648,0.672382,0.223305
BTC,120,arithmetic,2417,80,-0.857818,0.064848,0.424086,-0.105019,0.046582,-2.254523,0.024163,6.614648,0.600205,0.299647
BTC,120,geometric,2417,80,-1.062594,0.050065,0.345558,-0.192494,0.024751,-7.777243,0.0,6.614648,0.653146,0.182824
ETH,5,arithmetic,2417,80,-0.572854,0.059343,0.563914,-0.036748,0.037708,-0.974548,0.329785,6.614648,0.63679,0.499378
ETH,5,geometric,2417,80,-0.631331,0.032244,0.531883,-0.0983,0.015723,-6.252123,0.0,6.614648,0.736223,0.384258
ETH,15,arithmetic,2417,80,-0.56336,0.054349,0.569293,-0.041742,0.043671,-0.955828,0.339159,6.614648,0.653571,0.495883
ETH,15,geometric,2417,80,-0.644031,0.033678,0.525171,-0.103086,0.016973,-6.073665,0.0,6.614648,0.738531,0.373451
ETH,30,arithmetic,2417,80,-0.553613,0.056112,0.574869,-0.060334,0.040401,-1.493382,0.135337,6.614648,0.701827,0.470877
ETH,30,geometric,2417,80,-0.667339,0.034508,0.513072,-0.1259,0.016742,-7.52015,0.0,6.614648,0.778062,0.338331
ETH,60,arithmetic,2417,80,-0.583199,0.054696,0.55811,-0.067855,0.031099,-2.181919,0.029116,6.614648,0.698527,0.445919
ETH,60,geometric,2417,80,-0.717877,0.035796,0.487787,-0.137679,0.017924,-7.681341,0.0,6.614648,0.769106,0.309367
ETH,120,arithmetic,2417,80,-0.622687,0.063283,0.536501,-0.077631,0.044785,-1.733422,0.083021,6.614648,0.693547,0.415016
ETH,120,geometric,2417,80,-0.79929,0.043771,0.449648,-0.159529,0.020637,-7.730212,0.0,6.614648,0.762101,0.265297
SOL,5,arithmetic,914,31,-0.46843,0.108357,0.625984,-0.172898,0.221416,-0.780875,0.434876,2.499658,0.776983,0.504331
SOL,5,geometric,914,31,-0.642673,0.049625,0.525885,0.006558,0.074361,0.088188,0.929727,2.499658,0.521593,0.530213
SOL,15,arithmetic,914,31,-0.534874,0.102093,0.585743,-0.080472,0.125521,-0.641104,0.521455,2.499658,0.647719,0.529697
SOL,15,geometric,914,31,-0.641332,0.051937,0.526591,0.044678,0.075055,0.595266,0.551666,2.499658,0.497992,0.556832
SOL,30,arithmetic,914,31,-0.524412,0.091216,0.591903,0.019923,0.112266,0.177464,0.859144,2.499658,0.577347,0.606827
SOL,30,geometric,914,31,-0.687909,0.050592,0.502626,0.047635,0.074481,0.639566,0.522455,2.499658,0.473575,0.533459
SOL,60,arithmetic,914,31,-0.445165,0.112891,0.640718,0.015975,0.140305,0.113862,0.909347,2.499658,0.628052,0.65364
SOL,60,geometric,914,31,-0.706876,0.058473,0.493183,0.020564,0.085792,0.239694,0.810568,2.499658,0.480669,0.506022
SOL,120,arithmetic,914,31,-0.502667,0.105473,0.604915,-0.051904,0.128087,-0.405225,0.685312,2.499658,0.645458,0.566919
SOL,120,geometric,914,31,-0.746279,0.059909,0.474128,-0.003747,0.087189,-0.042972,0.965724,2.499658,0.476353,0.471913
XRP,5,arithmetic,886,30,-0.538014,0.136763,0.583907,-0.292194,0.242077,-1.207027,0.227422,2.422998,0.831918,0.409832
XRP,5,geometric,886,30,-0.659218,0.064917,0.517256,0.016545,0.099366,0.166505,0.86776,2.422998,0.506991,0.527728
XRP,15,arithmetic,886,30,-0.618697,0.160489,0.538646,-0.257854,0.229747,-1.122338,0.261719,2.422998,0.73616,0.394125
XRP,15,geometric,886,30,-0.653443,0.063059,0.520251,0.045175,0.092903,0.486263,0.62678,2.422998,0.492543,0.549518
XRP,30,arithmetic,886,30,-0.547203,0.161067,0.578566,-0.163585,0.216986,-0.753897,0.450911,2.422998,0.705379,0.474551
XRP,30,geometric,886,30,-0.690313,0.06566,0.501419,0.03956,0.096007,0.41205,0.680303,2.422998,0.477955,0.526036
XRP,60,arithmetic,886,30,-0.398622,0.167341,0.671244,-0.124775,0.221171,-0.564158,0.572647,2.422998,0.780784,0.577073
XRP,60,geometric,886,30,-0.675114,0.076294,0.509098,-0.002291,0.10602,-0.021613,0.982757,2.422998,0.510513,0.507687
XRP,120,arithmetic,886,30,-0.489008,0.154945,0.613235,-0.146994,0.199046,-0.738492,0.460215,2.422998,0.732769,0.513199
XRP,120,geometric,886,30,-0.738914,0.078027,0.477633,-0.078324,0.110974,-0.705791,0.480318,2.422998,0.525175,0.434394
