asset,year,zero_share_weekend,zero_share_weekday,n_weekend,n_weekday
BTC,2020,0.053486,0.035915,104,262
BTC,2021,0.004173,0.003326,104,261
BTC,2022,0.029134,0.011592,105,260
BTC,2023,0.074239,0.020767,105,260
BTC,2024,0.015992,0.004294,104,262
BTC,2025,0.023237,0.005534,104,261
BTC,2026,0.023438,0.00744,64,161
ETH,2020,0.063702,0.054495,104,262
ETH,2021,0.005542,0.003898,104,261
ETH,2022,0.014947,0.008894,105,260
ETH,2023,0.051422,0.021261,105,260
ETH,2024,0.009482,0.005513,104,262
ETH,2025,0.010383,0.006479,104,261
ETH,2026,0.019206,0.01046,64,161
SOL,2024,0.120056,0.064162,92,232
SOL,2025,0.108206,0.048824,104,261
SOL,2026,0.158474,0.070113,64,161
XRP,2024,0.196305,0.116214,84,211
XRP,2025,0.242054,0.130069,104,261
XRP,2026,0.481066,0.323302,64,162
