asset,trim,kept,moment,n,n_months,log_ratio_mid,log_ratio_mid_se,ratio_mid,trend_per_year,trend_se,t,p,span_years,ratio_first,ratio_last
BTC,0.0,2417,arithmetic,2417,80,-0.70593,0.066368,0.493649,-0.06201,0.052161,-1.188822,0.23451,6.614648,0.606021,0.402115
BTC,0.01,2384,arithmetic,2384,80,-0.724875,0.048094,0.484385,-0.132129,0.027081,-4.879091,1e-06,6.614648,0.75009,0.313002
BTC,0.02,2357,arithmetic,2357,80,-0.726424,0.037359,0.483635,-0.125365,0.023812,-5.264812,0.0,6.614648,0.732403,0.319605
BTC,0.05,2289,arithmetic,2289,80,-0.730475,0.034322,0.48168,-0.125646,0.019059,-6.592622,0.0,6.614648,0.730634,0.31824
BTC,0.1,2170,arithmetic,2170,80,-0.74688,0.033829,0.473842,-0.134912,0.01895,-7.119504,0.0,6.614648,0.741951,0.303958
BTC,0.25,1813,arithmetic,1813,80,-0.792542,0.030126,0.452693,-0.159663,0.016666,-9.580346,0.0,6.614648,0.77116,0.268213
BTC,0.5,1211,arithmetic,1211,80,-0.870701,0.029248,0.418658,-0.185703,0.016561,-11.213149,0.0,6.614648,0.782147,0.228992
ETH,0.0,2417,arithmetic,2417,80,-0.572854,0.059343,0.563914,-0.036748,0.037708,-0.974548,0.329785,6.614648,0.63679,0.499378
ETH,0.01,2384,arithmetic,2384,80,-0.556094,0.038263,0.573444,-0.077101,0.022026,-3.500476,0.000464,6.614648,0.740112,0.444437
ETH,0.02,2357,arithmetic,2357,80,-0.554003,0.036178,0.574645,-0.081792,0.023273,-3.514552,0.00044,6.614648,0.753299,0.438532
ETH,0.05,2289,arithmetic,2289,80,-0.559648,0.033074,0.57141,-0.088154,0.020985,-4.200909,2.7e-05,6.614648,0.765253,0.427133
ETH,0.1,2170,arithmetic,2170,80,-0.586059,0.027756,0.556516,-0.093984,0.015381,-6.110194,0.0,6.614648,0.760343,0.40834
ETH,0.25,1813,arithmetic,1813,80,-0.626597,0.024443,0.534407,-0.11307,0.012879,-8.779524,0.0,6.614648,0.778884,0.368687
ETH,0.5,1211,arithmetic,1211,80,-0.66605,0.019552,0.513734,-0.122644,0.010802,-11.354101,0.0,6.614648,0.774258,0.344007
SOL,0.0,914,arithmetic,914,31,-0.46843,0.108357,0.625984,-0.172898,0.221416,-0.780875,0.434876,2.499658,0.776983,0.504331
SOL,0.01,902,arithmetic,902,31,-0.543921,0.059901,0.580468,0.031587,0.084846,0.372293,0.709675,2.499658,0.557945,0.603785
SOL,0.02,892,arithmetic,892,31,-0.58106,0.055667,0.559305,0.084059,0.090895,0.924787,0.355077,2.499658,0.503318,0.621005
SOL,0.05,866,arithmetic,866,31,-0.620854,0.048845,0.537485,0.108811,0.070868,1.535408,0.124684,2.499658,0.468713,0.615221
SOL,0.1,820,arithmetic,820,31,-0.654593,0.036771,0.519654,0.0651,0.054324,1.198351,0.23078,2.499658,0.478541,0.563107
SOL,0.25,686,arithmetic,686,31,-0.684299,0.038765,0.504444,0.004207,0.054773,0.076801,0.938782,2.499658,0.501739,0.507043
SOL,0.5,458,arithmetic,458,31,-0.739523,0.029829,0.477342,-0.06615,0.041951,-1.576838,0.114833,2.499658,0.520307,0.44101
XRP,0.0,886,arithmetic,886,30,-0.538014,0.136763,0.583907,-0.292194,0.242077,-1.207027,0.227422,2.422998,0.831918,0.409832
XRP,0.01,874,arithmetic,874,30,-0.459674,0.092265,0.631489,-0.103719,0.227982,-0.454943,0.64915,2.422998,0.716085,0.556957
XRP,0.02,864,arithmetic,864,30,-0.481064,0.095556,0.618125,0.095338,0.12661,0.753008,0.451445,2.422998,0.550648,0.693741
XRP,0.05,838,arithmetic,838,30,-0.540173,0.060006,0.582648,0.048235,0.086278,0.559064,0.576118,2.422998,0.54947,0.617591
XRP,0.1,795,arithmetic,795,30,-0.604338,0.056896,0.546436,0.054193,0.090468,0.599027,0.549155,2.422998,0.511605,0.583393
XRP,0.25,664,arithmetic,664,30,-0.654394,0.042347,0.519757,0.008727,0.070522,0.123745,0.901517,2.42026,0.514238,0.525215
XRP,0.5,444,arithmetic,444,30,-0.772353,0.049916,0.461925,0.031557,0.078841,0.400267,0.68896,2.392882,0.444417,0.479276
