asset,year,wedge_weekend,n_weekend,wedge_weekday,n_weekday,wedge_diff
BTC,2020,0.720012,104,0.954423,262,-0.234411
BTC,2021,0.466199,104,0.471177,261,-0.004978
BTC,2022,0.508853,105,0.428906,260,0.079946
BTC,2023,0.616927,105,0.424169,260,0.192758
BTC,2024,0.409886,104,0.251585,262,0.158301
BTC,2025,0.49086,104,0.353428,261,0.137432
BTC,2026,0.587338,64,0.275498,161,0.311839
ETH,2020,0.537877,104,0.609176,262,-0.0713
ETH,2021,0.435799,104,0.571361,261,-0.135562
ETH,2022,0.473874,105,0.403604,260,0.07027
ETH,2023,0.521004,105,0.418424,260,0.10258
ETH,2024,0.385841,104,0.309266,262,0.076575
ETH,2025,0.434548,104,0.265035,261,0.169513
ETH,2026,0.544391,64,0.275662,161,0.268729
SOL,2024,0.533566,92,0.273801,232,0.259765
SOL,2025,0.501719,104,0.293174,261,0.208544
SOL,2026,0.449393,64,0.30734,161,0.142053
XRP,2024,1.070949,84,0.680067,211,0.390882
XRP,2025,0.546315,104,0.591419,261,-0.045104
XRP,2026,0.567243,64,0.330324,162,0.236918
