asset,period,t_mid,n,n_days_x,slope,slope_se,implied_ratio,implied_ratio_se,log_ratio,log_ratio_se,n_days_y,log_arithmetic,log_arithmetic_se,log_geometric,log_geometric_se,year,arithmetic_ratio,geometric_ratio
BTC,2020,2020-07-01 12:00:00+00:00,322821,366,-0.047461,0.06848,0.906191,0.135355,-0.098505,0.149367,366,-0.652458,0.275683,-0.418046,0.088193,2020,0.520764,0.658332
BTC,2021,2021-07-02 00:00:00+00:00,659771,365,-0.062979,0.03719,0.93107,0.040705,-0.071421,0.043718,365,-0.365022,0.135424,-0.360044,0.072386,2021,0.694181,0.697646
BTC,2022,2022-07-02 00:00:00+00:00,613658,365,-0.347359,0.098477,0.476737,0.148346,-0.740791,0.31117,365,-0.689726,0.16094,-0.769672,0.079943,2022,0.501714,0.463165
BTC,2023,2023-07-02 00:00:00+00:00,888515,365,-0.107848,0.014455,0.580157,0.056274,-0.544457,0.096997,365,-0.902891,0.189229,-1.095649,0.097007,2023,0.405396,0.334323
BTC,2024,2024-07-01 12:00:00+00:00,1156181,366,-0.185217,0.018659,0.506078,0.049758,-0.681065,0.098321,366,-0.959643,0.18717,-1.117945,0.086872,2024,0.383029,0.326951
BTC,2025,2025-07-02 00:00:00+00:00,1094272,365,-0.143124,0.010733,0.424167,0.043183,-0.857627,0.101806,365,-0.94197,0.124709,-1.079402,0.088849,2025,0.389859,0.339799
BTC,2026,2026-04-23 00:00:00+00:00,462197,225,-0.201458,0.048571,0.295504,0.169852,-1.219074,0.574789,225,-0.640407,0.14945,-0.952246,0.115697,2026,0.527078,0.385873
ETH,2020,2020-07-01 12:00:00+00:00,89686,366,0.000922,0.038053,1.001254,0.051797,0.001254,0.051732,366,-0.361856,0.260721,-0.290557,0.088304,2020,0.696382,0.747847
ETH,2021,2021-07-02 00:00:00+00:00,481255,365,-0.064247,0.108114,0.952994,0.0791,-0.048146,0.083002,365,-0.486525,0.101658,-0.350963,0.061372,2021,0.614759,0.70401
ETH,2022,2022-07-02 00:00:00+00:00,650962,365,-0.475473,0.121939,0.545793,0.116485,-0.605515,0.213423,365,-0.528949,0.148019,-0.599219,0.077602,2022,0.589224,0.549241
ETH,2023,2023-07-02 00:00:00+00:00,654791,365,-0.122782,0.014041,0.581332,0.047879,-0.542434,0.082361,365,-0.670616,0.210732,-0.773196,0.087461,2023,0.511394,0.461536
ETH,2024,2024-07-01 12:00:00+00:00,715277,366,-0.283333,0.028853,0.448933,0.056118,-0.800881,0.125002,366,-0.789036,0.2116,-0.865611,0.084047,2024,0.454283,0.420794
ETH,2025,2025-07-02 00:00:00+00:00,762950,365,-0.284196,0.017201,0.48743,0.031023,-0.718609,0.063646,365,-0.590638,0.138233,-0.760151,0.09381,2025,0.553974,0.467596
ETH,2026,2026-04-23 00:00:00+00:00,255506,225,-0.238146,0.045706,0.471599,0.101412,-0.751625,0.215039,225,-0.505034,0.186635,-0.773763,0.123259,2026,0.603485,0.461274
SOL,2024,2024-08-05 12:00:00+00:00,63067,296,-0.346971,0.035025,0.603013,0.040074,-0.505817,0.066456,324,-0.403146,0.320251,-0.662911,0.096114,2024,0.668214,0.515349
SOL,2025,2025-07-02 00:00:00+00:00,87093,365,-0.419931,0.033554,0.532115,0.037386,-0.630895,0.070259,365,-0.431901,0.228034,-0.640446,0.092479,2025,0.649273,0.527057
SOL,2026,2026-04-23 00:00:00+00:00,39746,225,-0.209917,0.05731,0.582016,0.114116,-0.541258,0.19607,225,-0.447345,0.177117,-0.589397,0.103519,2026,0.639323,0.554661
XRP,2024,2024-08-06 00:00:00+00:00,22359,294,-0.862033,0.187262,0.445679,0.120417,-0.808157,0.270188,295,-0.299274,0.265977,-0.690156,0.145242,2024,0.741356,0.501498
XRP,2025,2025-07-02 00:00:00+00:00,33595,365,-0.466808,0.051139,0.522177,0.052345,-0.649748,0.100244,365,-0.670486,0.21348,-0.625383,0.093546,2025,0.51146,0.535057
XRP,2026,2026-04-23 12:00:00+00:00,14174,226,-0.206998,0.075538,0.62189,0.13798,-0.474992,0.221872,226,-0.407544,0.166323,-0.644462,0.125021,2026,0.665282,0.524945
