weekend_sat,px_open,px_close,px_high,px_low,ret_pct,range_pct,rv_vol_ann,wd_vol_ann,vol_ratio,iv_weekend,iv_weekday,iv_minus_rv,iv_wknd_ratio
2024-03-16 00:00:00+00:00,0.6344,0.6186,0.6442,0.5894,-2.49054,9.29759,0.933276,1.16352,0.802112,1.0929,1.18123,0.159624,0.925224
2024-03-23 00:00:00+00:00,0.6106,0.6329,0.6357,0.605,3.65215,5.07438,0.580034,1.15509,0.502156,,0.955539,,
2024-03-30 00:00:00+00:00,0.6286,0.6298,0.6358,0.6187,0.1909,2.76386,0.410993,0.645736,0.636472,0.624089,0.885075,0.213096,0.705126
2024-04-06 00:00:00+00:00,0.5867,0.5952,0.6018,0.5863,1.44878,2.6437,0.354311,0.863581,0.410281,,0.6631,,
2024-04-13 00:00:00+00:00,0.5467,0.5032,0.5489,0.4281,-7.95683,28.2177,2.41296,0.915682,2.63515,0.734223,0.719111,-1.67874,1.02101
2024-04-20 00:00:00+00:00,0.5046,0.5252,0.5361,0.499,4.08244,7.43487,0.59065,0.98057,0.602353,0.920288,1.13676,0.329638,0.809568
2024-04-27 00:00:00+00:00,0.526,0.5098,0.526,0.509,-3.07985,3.33988,0.475633,0.661398,0.719133,0.53126,0.787079,0.055627,0.674976
2024-05-04 00:00:00+00:00,0.5309,0.5297,0.5412,0.5243,-0.226031,3.22335,0.335576,0.664608,0.504923,0.570023,0.688525,0.234447,0.827891
2024-05-11 00:00:00+00:00,0.502,0.4994,0.5085,0.497,-0.517928,2.31388,0.313065,0.677884,0.461827,,0.531498,,
2024-05-18 00:00:00+00:00,0.5231,0.5096,0.5256,0.5065,-2.58077,3.77098,0.275511,0.513062,0.536994,0.459993,0.507629,0.184482,0.906159
2024-05-25 00:00:00+00:00,0.5348,0.5279,0.5426,0.5263,-1.2902,3.09709,0.300391,0.680705,0.441294,0.472,0.595834,0.171609,0.792167
2024-06-01 00:00:00+00:00,0.5175,0.5134,0.5215,0.5079,-0.792271,2.67769,0.268024,0.434112,0.617407,0.465,0.529598,0.196976,0.878025
2024-06-08 00:00:00+00:00,0.4976,0.4985,0.5004,0.4915,0.180868,1.81078,0.239249,1.16914,0.204637,0.457122,0.469516,0.217873,0.973601
2024-06-15 00:00:00+00:00,0.4742,0.4891,0.5036,0.4739,3.14213,6.26714,0.481127,0.565569,0.850696,,0.720871,,
2024-06-22 00:00:00+00:00,0.4887,0.4795,0.4894,0.4764,-1.88255,2.7288,0.273615,0.833872,0.328125,0.621938,0.768341,0.348324,0.809455
2024-06-29 00:00:00+00:00,0.4707,0.4756,0.4774,0.47,1.041,1.57447,0.195854,0.44255,0.442557,0.4867,0.631304,0.290846,0.770944
2024-07-06 00:00:00+00:00,0.4238,0.4193,0.4497,0.4186,-1.06182,7.42953,0.537334,0.833656,0.644551,0.624019,0.491133,0.086685,1.27057
2024-07-13 00:00:00+00:00,0.4749,0.5202,0.5606,0.474,9.53885,18.27,1.03928,0.671754,1.54712,0.580692,0.701643,-0.458592,0.827617
2024-07-20 00:00:00+00:00,0.5737,0.598,0.6057,0.5714,4.23566,6.0028,0.846023,1.10735,0.76401,0.882069,0.877719,0.036046,1.00496
2024-07-27 00:00:00+00:00,0.6012,0.602,0.6128,0.5869,0.133067,4.41302,0.545918,0.917732,0.594855,0.994316,1.12376,0.448398,0.884809
2024-08-03 00:00:00+00:00,0.5602,0.5227,0.5766,0.5139,-6.69404,12.2008,0.973127,0.896224,1.08581,0.811066,0.748015,-0.162061,1.08429
2024-08-10 00:00:00+00:00,0.5788,0.553,0.6014,0.5473,-4.4575,9.88489,0.784693,1.93249,0.406053,1.08246,1.05544,0.297763,1.0256
2024-08-17 00:00:00+00:00,0.5634,0.563,0.5777,0.5617,-0.0709975,2.8485,0.346562,0.720612,0.480927,0.749258,1.06647,0.402696,0.70256
2024-08-24 00:00:00+00:00,0.6109,0.6001,0.6295,0.596,-1.76788,5.62081,0.5611,0.575497,0.974982,0.653745,0.71079,0.0926454,0.919744
2024-08-31 00:00:00+00:00,0.5662,0.5476,0.5718,0.5443,-3.28506,5.05236,0.403621,0.641239,0.629439,0.684942,0.766229,0.281321,0.893913
2024-09-07 00:00:00+00:00,0.5212,0.529,0.5324,0.5196,1.49655,2.46343,0.334523,0.629612,0.531316,0.648913,0.838793,0.31439,0.773627
2024-09-14 00:00:00+00:00,0.5722,0.5704,0.5992,0.5699,-0.314575,5.14125,0.556357,0.670242,0.830084,0.553113,0.663808,-0.00324397,0.833244
2024-09-21 00:00:00+00:00,0.584,0.5876,0.6089,0.5796,0.616438,5.05521,0.51925,0.506247,1.02568,0.50229,0.772785,-0.0169596,0.649974
2024-09-28 00:00:00+00:00,0.5895,0.6422,0.6626,0.5861,8.93978,13.0524,0.778454,0.391599,1.98788,0.474138,0.568045,-0.304316,0.834684
2024-10-05 00:00:00+00:00,0.5347,0.534,0.5374,0.5267,-0.130915,2.03152,0.369397,1.06517,0.346797,0.552521,0.731562,0.183124,0.755262
2024-10-12 00:00:00+00:00,0.5383,0.5314,0.5428,0.5253,-1.28181,3.33143,0.285142,0.507435,0.561929,0.4597,0.659337,0.174558,0.697216
2024-10-19 00:00:00+00:00,0.5469,0.5483,0.5504,0.5373,0.255988,2.43812,0.251061,0.516117,0.486442,,0.481551,,
2024-10-26 00:00:00+00:00,0.4985,0.5168,0.5174,0.4985,3.67101,3.79137,0.289963,0.531338,0.545722,0.448535,0.451765,0.158572,0.99285
2024-11-02 00:00:00+00:00,0.5123,0.5027,0.5156,0.4928,-1.8739,4.62662,0.413689,0.457456,0.904324,,0.446025,,
2024-11-09 00:00:00+00:00,0.5536,0.5886,0.619,0.546,6.32225,13.37,0.93689,0.624835,1.49942,0.373,0.84757,-0.56389,0.440082
2024-11-16 00:00:00+00:00,0.8981,1.0526,1.2264,0.8791,17.203,39.5063,2.77212,2.08521,1.32942,1.21298,1.17947,-1.55913,1.02841
2024-11-23 00:00:00+00:00,1.4914,1.4343,1.618,1.3006,-3.82862,24.4041,2.1349,1.73765,1.22862,2.00699,1.37038,-0.127918,1.46455
2024-11-30 00:00:00+00:00,1.8252,2.2999,2.3312,1.7754,26.0081,31.3056,1.88255,1.60351,1.17401,1.4795,1.55776,-0.403049,0.949763
2024-12-07 00:00:00+00:00,2.4194,2.608,2.6445,2.3942,7.79532,10.4544,1.04239,2.50003,0.416951,1.46499,2.32242,0.4226,0.630803
2024-12-14 00:00:00+00:00,2.4191,2.446,2.5202,2.3568,1.11198,6.93313,0.718743,2.12009,0.339014,1.07015,1.80958,0.351404,0.59138
2024-12-21 00:00:00+00:00,2.2751,2.2012,2.3758,2.16,-3.24821,9.99074,1.15204,1.63279,0.705565,1.30823,1.17305,0.156188,1.11524
2024-12-28 00:00:00+00:00,2.1466,2.0969,2.2017,2.0739,-2.31529,6.1623,0.552989,0.872867,0.633532,0.83578,0.933077,0.28279,0.895724
2025-01-04 00:00:00+00:00,2.4574,2.4032,2.5045,2.33,-2.20558,7.48927,0.622154,0.952179,0.6534,0.6484,0.97689,0.0262458,0.663739
2025-01-11 00:00:00+00:00,2.3444,2.5041,2.5927,2.3286,6.81198,11.3416,0.807193,0.952141,0.847766,0.777395,0.825831,-0.0297984,0.941348
2025-01-18 00:00:00+00:00,3.294,2.9626,3.294,2.8675,-10.0607,14.8736,1.52284,1.39224,1.0938,1.19058,1.14053,-0.332256,1.04388
2025-01-25 00:00:00+00:00,3.1093,3.02,3.1443,3.02,-2.87203,4.11589,0.381967,1.22768,0.311129,0.831544,1.15931,0.449578,0.717276
2025-02-01 00:00:00+00:00,3.0251,2.5794,3.0677,2.5013,-14.7334,22.6442,1.47837,1.02935,1.43622,0.63906,1.08154,-0.839312,0.590878
2025-02-08 00:00:00+00:00,2.3943,2.3948,2.502,2.3204,0.0208829,7.82624,0.803501,2.19103,0.366724,1.01492,1.48439,0.211422,0.68373
2025-02-15 00:00:00+00:00,2.7515,2.7296,2.83,2.6922,-0.795929,5.11849,0.698557,0.98315,0.71053,0.891944,0.915053,0.193386,0.974745
2025-02-22 00:00:00+00:00,2.5634,2.5746,2.61,2.522,0.43692,3.48929,0.440261,0.83683,0.526105,0.65534,0.868269,0.21508,0.754767
2025-03-01 00:00:00+00:00,2.1473,2.9339,2.9778,2.1237,36.632,40.2175,2.1435,1.48176,1.44659,1.08822,1.14496,-1.05528,0.950441
2025-03-08 00:00:00+00:00,2.3976,2.1303,2.4066,2.0859,-11.1486,15.3747,1.06816,1.71805,0.62173,1.26485,1.3957,0.196687,0.906249
2025-03-15 00:00:00+00:00,2.3562,2.294,2.4654,2.2699,-2.63984,8.61271,0.735942,1.33462,0.551425,0.947259,1.36143,0.211317,0.695783
2025-03-22 00:00:00+00:00,2.3775,2.4392,2.4392,2.3619,2.59516,3.27279,0.40384,1.0404,0.388159,0.638156,1.08986,0.234316,0.585541
2025-03-29 00:00:00+00:00,2.2081,2.1331,2.2206,2.0613,-3.39659,7.72813,0.891606,0.612503,1.45568,0.777405,0.770421,-0.114201,1.00907
