f_iv,f_iv_premium,f_wd_vol,f_friday_move_abs,f_funding_abs,f_wknd_frac,f_dvol_chg,f_T_days,entry_ts,exit_ts,instrument,strike,cp,expiry,hold_hours,wknd_frac,index_in,index_out,index_move_pct,iv_in,iv_out,iv_change,premium_in,premium_out,option_pnl,hedge_pnl,perp_fees,option_fees,spread_cost,vega_usd,gross_usd,net_usd,gross_per_vega,net_per_vega
0.6414,1.09691,0.584735,5.91813,0.000109982,0.292906,,6.82813,2019-05-03 12:07:29.611000+00:00,2019-05-05 00:00:00+00:00,ETH-10MAY19-170-P,170,P,2019-05-10 08:00:00+00:00,35.8751,0.292906,166.916,162.104,-2.8823,0.6414,0.6287,-0.0127,7.56607,9.93486,-2.36878,2.36052,0.236216,0.098706,0.121401,8.98839,-0.00826554,-0.464589,-0.00091958,-0.0516877
1.0356,1.03291,1.0026,2.82207,0.000233356,0.293718,,6.80925,2019-05-24 12:34:40.433000+00:00,2019-05-26 00:00:00+00:00,ETH-31MAY19-260-C,260,C,2019-05-31 08:00:00+00:00,35.4221,0.293718,252.709,253.011,0.119586,1.0356,1.0681,0.0325,11.1239,10.0008,1.12306,-0.664579,0.306473,0.151716,0.184747,13.6784,0.458479,-0.184457,0.0335184,-0.0134853
0.9532,1.0099,0.943852,0.661798,0.000143315,0.293485,,6.81467,2019-07-26 12:26:52.925000+00:00,2019-07-28 00:00:00+00:00,ETH-2AUG19-230-C,230,C,2019-08-02 08:00:00+00:00,35.552,0.293485,217.247,206.483,-4.95449,0.9532,0.9112,-0.042,6.34334,2.07812,4.26522,-3.78068,0.224874,0.127119,0.14945,11.0651,0.484539,-0.0169033,0.0437901,-0.00152763
0.9707,0.600745,1.61583,0.150331,0.000115725,0.293453,,6.81541,2019-09-27 12:25:48.757000+00:00,2019-09-29 00:00:00+00:00,ETH-4OCT19-170-C,170,C,2019-10-04 08:00:00+00:00,35.5698,0.293453,165.827,173.958,4.90292,0.9707,1.0265,0.0558,6.95914,10.6323,-3.67314,3.47718,0.262364,0.101935,0.121371,8.98611,-0.195963,-0.681633,-0.0218073,-0.075854
0.5652,0.955198,0.59171,0.911546,3.45071e-05,0.293884,,6.8054,2019-12-06 12:40:13.119000+00:00,2019-12-08 00:00:00+00:00,ETH-13DEC19-150-C,150,C,2019-12-13 08:00:00+00:00,35.3297,0.293884,147.016,147.33,0.213624,0.5652,0.6056,0.0404,3.24233,3.1357,0.106629,-0.08225,0.142889,0.0883039,0.105771,7.83113,0.0243786,-0.312585,0.00311304,-0.0399158
0.7826,0.7237,1.08139,2.64197,0.000173382,0.293809,,6.80714,2020-01-17 12:37:42.726000+00:00,2020-01-19 00:00:00+00:00,ETH-24JAN20-170-C,170,C,2020-01-24 08:00:00+00:00,35.3715,0.293809,168.968,174.35,3.18536,0.7826,0.7373,-0.0453,6.73234,8.53893,-1.8066,1.75893,0.366915,0.102995,0.124573,9.2232,-0.0476709,-0.642154,-0.00516858,-0.0696238
0.5827,1.00359,0.580618,2.12438,6.02818e-05,0.291913,,6.85136,2020-01-24 11:34:02.768000+00:00,2020-01-26 00:00:00+00:00,ETH-31JAN20-160-C,160,C,2020-01-31 08:00:00+00:00,36.4326,0.291913,159.014,159.795,0.490922,0.5827,0.633,0.0503,4.59456,4.77803,-0.183464,-0.174317,0.295341,0.0956429,0.117152,8.67379,-0.357781,-0.865917,-0.0412485,-0.0998315
0.6231,0.986428,0.631673,4.30661,0.000278252,0.293919,,6.8046,2020-01-31 12:41:22.818000+00:00,2020-02-02 00:00:00+00:00,ETH-7FEB20-180-P,180,P,2020-02-07 08:00:00+00:00,35.3103,0.293919,178.037,183.697,3.17922,0.6231,0.6655,0.0424,7.11861,4.17106,2.94756,-3.36288,0.318215,0.10852,0.130776,9.68247,-0.415325,-0.972837,-0.0428946,-0.100474
0.8853,1.12591,0.786299,1.96078,0.000234487,0.293364,,6.81747,2020-02-07 12:22:50.665000+00:00,2020-02-09 00:00:00+00:00,ETH-14FEB20-230-C,230,C,2020-02-14 08:00:00+00:00,35.6193,0.293364,220.074,224.231,1.88888,0.8853,0.9127,0.0274,6.61703,7.36997,-0.752935,0.883916,0.314742,0.133291,0.154942,11.4717,0.13098,-0.471995,0.0114177,-0.0411442
0.9514,0.871804,1.0913,0.705926,0.000435419,0.293894,,6.80517,2020-02-14 12:40:33.038000+00:00,2020-02-16 00:00:00+00:00,ETH-21FEB20-280-C,280,C,2020-02-21 08:00:00+00:00,35.3242,0.293894,271.602,262.898,-3.20501,0.9514,1.0851,0.1337,10.5035,7.2477,3.25579,-4.94814,0.500488,0.16035,0.197408,14.6159,-1.69235,-2.5506,-0.115789,-0.174509
