asset,entry_hour,exit,n,gross_per_vega,net_per_vega,t,sharpe,hit_rate,median,worst,mean_hold_hours,mean_iv_change,cost_per_vega,rehedge_minutes
BTC,12,sun_00,227,0.06578218905147247,-0.036274832306166564,-3.396887366812257,-1.6258103729368723,0.43171806167400884,-0.023425476926496932,-0.918608233002827,35.47526014929026,-0.022603524960085167,0.10205702135763904,
BTC,0,sat_00,187,0.05377374758518935,-0.0540572113969875,-3.6495745417505536,-1.9245230056453362,0.3689839572192513,-0.03775594647011402,-1.2563565460494555,23.53912309714795,-0.07119518932811716,0.10783095898217684,5.0
BTC,0,sat_12,87,0.07740700440014256,-0.020802199220592198,-1.7743757940037888,-1.3717900539496537,0.4482758620689655,-0.021453119355355765,-0.3470717558339393,35.58341094508301,-0.12005632159353674,0.09820920362073479,5.0
BTC,0,sun_00,65,0.07630023495097189,-0.03872135119821313,-2.389277195220595,-2.1370344902413145,0.38461538461538464,-0.03917258627815052,-0.4352246570556775,47.52823167948717,-0.05856615506685697,0.11502158614918503,5.0
BTC,0,mon_00,27,0.012285668859184296,-0.11229017283651069,-4.002232464226374,-5.554207495159732,0.1111111111111111,-0.10985552648220115,-0.5557191303497081,71.75155143004115,0.17441480636596682,0.124575841695695,5.0
BTC,6,sat_00,201,0.05587492304216175,-0.04737072988057381,-3.9255632512843506,-1.9966669187510242,0.35323383084577115,-0.03776215362277682,-1.2654814383244053,17.488791984521832,-0.05476219115565665,0.10324565292273558,5.0
BTC,6,sat_12,91,0.0840069169322862,-0.0054207038807794015,-0.5199147456061752,-0.39301860566552893,0.4725274725274725,-0.0044298007840200115,-0.2697803406562868,29.481490796703298,-0.1213890103979425,0.08942762081306559,5.0
BTC,6,sun_00,73,0.08466234151224292,-0.02560139188429782,-1.7776486676676222,-1.500327858481681,0.4383561643835616,-0.013679034421246135,-0.29638257036281285,41.52420340182648,-0.08240273736927607,0.11026373339654072,5.0
BTC,6,mon_00,30,0.003717765404702653,-0.12085800898343187,-4.25931449449257,-5.607648104971501,0.06666666666666667,-0.08532144559252718,-0.5468551278697211,65.52968928703703,0.14614333279927572,0.12457577438813451,5.0
BTC,12,sat_00,275,0.014793215597050862,-0.04903224661519289,-5.599765939233588,-2.4350349527888486,0.3563636363636364,-0.029710362782708895,-1.0613527081308043,11.49465828989899,-0.04068945315967906,0.06382546221224375,5.0
BTC,12,sat_12,275,0.06382115200768257,-0.017099508216288074,-1.7182608046974073,-0.7471785718990116,0.48,-0.004628116927724067,-0.7057556927359321,23.49202629090909,-0.06974654419638894,0.08092066022397063,5.0
BTC,12,mon_00,280,0.005846318922946162,-0.0770969662922447,-8.30014311653318,-3.5769118460604505,0.2571428571428571,-0.05098369698579287,-1.0562267101989329,59.43400427777779,0.08260357025691441,0.08294328521519086,5.0
BTC,18,sat_00,321,0.028738641163060488,-0.024606672603573864,-3.4796195361934243,-1.4004929150805643,0.3987538940809969,-0.01395968233782936,-0.6450465130448221,5.4828827881619935,-0.031517134485215044,0.05334531376663436,5.0
BTC,18,sat_12,313,0.07376364771647058,-0.0017937618741861372,-0.16549370613786582,-0.06745450891895802,0.48881789137380194,-0.001275914996962664,-0.6877331134221231,17.509869902378416,-0.05154568800149254,0.07555740959065674,5.0
BTC,18,sun_00,272,0.09552942648682806,-0.00540146168480955,-0.4455976478711578,-0.19483191961458984,0.48161764705882354,-0.007169175319258576,-0.7662298916204148,29.49922246936275,-0.026554411754888655,0.10093088817163763,5.0
BTC,18,mon_00,317,0.029141404470178163,-0.05410858796402581,-6.478810447646514,-2.624021049520617,0.334384858044164,-0.032965201654167525,-0.8433608084980591,53.501562393971255,0.07963091396006876,0.08324999243420399,5.0
ETH,12,sun_00,158,0.0691784343212438,-0.05667984014314323,-3.7931431490536656,-2.176067492087654,0.37341772151898733,-0.03199039635587922,-1.0660875341659468,35.515545007032344,-0.017919618600531463,0.12585827446438705,
