currency,spec,slope,t,n,n_days,placebo_slope,placebo_t
BTC,baseline,-0.1611771271210928,-10.782944658818797,5339133,3413,,
BTC,T <= 3d,-0.16200428812642917,-7.950193633093501,3110034,2901,,
BTC,3-7d,-0.17379450340896063,-4.624229036803476,954311,2512,,
BTC,7-14d,-0.16237037082520014,-0.9266740331466613,1274788,2953,,
BTC,2016-2020,-0.0965184842688933,-1.452101098714604,464539,1362,,
BTC,2021-2022,-0.2014605924651187,-3.8357399721049052,1273429,730,,
BTC,2023-2024,-0.1505097889575129,-11.867749669251754,2044696,731,,
BTC,2025-2026,-0.16199847200571452,-9.129081044180172,1556469,590,,
BTC,ex-2020 (covid),-0.16869376820015938,-11.068099654453695,5016312,3047,,
BTC,|delta| in 0.45-0.55,-0.16118751411549662,-14.369338763461185,1643256,3328,,
BTC,horse race vs placebo_tuewed,-0.17246745812448908,-11.044055063403786,5339133,3413,-0.02456435980464126,-1.5863612694510318
BTC,horse race vs placebo_thufri,-0.14180361859543902,-9.327023884933103,5339133,3413,0.04238947292802749,3.1833396441601733
BTC,horse race vs sunmon_frac,-0.14799576859526506,-10.687511174164635,5339133,3413,-0.03774207984703047,-3.222814515587755
