currency,spec,slope,t,n,n_days,placebo_slope,placebo_t
ETH,baseline,-0.2461023523869429,-8.898569623627239,3624938,2703,,
ETH,T <= 3d,-0.2244318664957817,-10.350059587479352,2196687,2529,,
ETH,3-7d,-0.34382659995810017,-6.9434637047211405,568319,2032,,
ETH,7-14d,-0.4953847266216733,-1.317141770165185,859932,2698,,
ETH,2016-2020,-0.02180870880700664,-0.5815936350169677,104197,652,,
ETH,2021-2022,-0.295418901021963,-3.4842172623006187,1132217,730,,
ETH,2023-2024,-0.2065891390624583,-11.882676913963452,1370068,731,,
ETH,2025-2026,-0.27238553159934575,-15.455485944178552,1018456,590,,
ETH,ex-2020 (covid),-0.25182965765557563,-8.897388616123475,3535252,2337,,
ETH,|delta| in 0.45-0.55,-0.24268946774351582,-10.136605620269322,1109203,2669,,
ETH,horse race vs placebo_tuewed,-0.27138264609831486,-8.467309941569667,3624938,2703,-0.05390803401985157,-1.9986551428273327
ETH,horse race vs placebo_thufri,-0.21294832237752948,-8.431182473720982,3624938,2703,0.07673574505410627,2.7731590922489415
ETH,horse race vs sunmon_frac,-0.22561872940276034,-8.695065244856577,3624938,2703,-0.05722294128066897,-2.5090406885120284
