currency,spec,slope,t,n,n_days,placebo_slope,placebo_t
XRP,baseline,-0.5513321647209404,-7.974334518040777,70128,885,,
XRP,T <= 3d,-0.608042050567958,-4.985674281923399,39705,874,,
XRP,3-7d,-0.6325214443105304,-1.0484283116043311,12511,566,,
XRP,7-14d,-0.10059432339269765,-0.15650620236413293,17912,825,,
XRP,2023-2024,-0.8761079655558719,-4.704530916837969,22359,294,,
XRP,2025-2026,-0.4024761683084503,-9.214487401781492,47769,591,,
XRP,ex-2020 (covid),-0.5513321647209404,-7.974334518040777,70128,885,,
XRP,|delta| in 0.45-0.55,-0.5128323384000082,-5.451886276276552,23900,856,,
XRP,horse race vs placebo_tuewed,-0.5687895464964845,-7.837852998030928,70128,885,-0.037882816181677076,-0.4841217020728729
XRP,horse race vs placebo_thufri,-0.6108554009226886,-6.343514473496761,70128,885,-0.14090991863781388,-1.5033578711102356
XRP,horse race vs sunmon_frac,-0.6068833042760459,-7.006606986098156,70128,885,0.1744710315114832,1.7999091929427928
