asset,entry_hour,exit,rehedge_minutes,n,gross_per_vega,net_per_vega,t,sharpe,hit_rate,median,worst,mean_hold_hours,mean_iv_change,cost_per_vega
BTC,12,sun_00,5,227,0.06578218905147247,-0.036274832306166564,-3.396887366812257,-1.6258103729368723,0.43171806167400884,-0.023425476926496932,-0.918608233002827,35.47526014929026,-0.022603524960085167,0.10205702135763904
BTC,12,sun_00,30,227,0.0797686425826225,0.019760741128450606,1.7640989455709504,0.8443289561548675,0.5814977973568282,0.030272347824321012,-1.0083351104382863,35.47526014929026,-0.022603524960085167,0.06000790145417192
BTC,12,sun_00,60,227,0.09385302727735406,0.042693266315827476,3.913917329823989,1.8732700577048367,0.6431718061674009,0.047962912167100524,-0.7156934870899082,35.47526014929026,-0.022603524960085167,0.051159760961526586
BTC,12,sun_00,240,227,0.11006682398113354,0.06862133247511543,5.25863393973404,2.516875210590407,0.6872246696035242,0.07266016778902601,-0.7940979038587697,35.47526014929026,-0.022603524960085167,0.04144549150601812
ETH,12,sun_00,5,158,0.0691784343212438,-0.05667984014314323,-3.7931431490536656,-2.176067492087654,0.37341772151898733,-0.03199039635587922,-1.0660875341659468,35.515545007032344,-0.017919618600531463,0.12585827446438705
ETH,12,sun_00,30,158,0.09123256324140679,0.01790904370966609,1.167207387680621,0.6696088054282965,0.6075949367088608,0.04657654616747603,-0.9920047081796725,35.515545007032344,-0.017919618600531463,0.07332351953174068
ETH,12,sun_00,60,158,0.10056706459360248,0.03769173362417874,2.3977124264784746,1.3755304932101313,0.6329113924050633,0.056313605985118045,-0.8664178913772168,35.515545007032344,-0.017919618600531463,0.06287533096942374
ETH,12,sun_00,240,158,0.12521928952634054,0.07429177043255596,4.217661025934828,2.4196068248759874,0.7025316455696202,0.08614253655564827,-0.7738784251240663,35.515545007032344,-0.017919618600531463,0.05092751909378459
SOL,12,sun_00,5,7,-0.02622988814303128,-0.12915143556242598,-1.383169162720161,-3.769883675742331,0.2857142857142857,-0.08827604633281254,-0.6487276436713313,35.817817142857145,-0.014128559657505606,0.10292154741939472
SOL,12,sun_00,30,7,-0.028643960763549185,-0.08720234453118823,-1.0319404947296167,-2.8125956898633664,0.42857142857142855,-0.0689780933150733,-0.4974416115112677,35.817817142857145,-0.014128559657505606,0.05855838376763906
SOL,12,sun_00,60,7,-0.007161444337323274,-0.05518988394155957,-0.7195317852451831,-1.9611130760311404,0.42857142857142855,-0.07334903028316293,-0.32295561593112876,35.817817142857145,-0.014128559657505606,0.04802843960423629
SOL,12,sun_00,240,7,0.056392487809722835,0.020653773924597885,0.1721278381219722,0.4691414069705698,0.5714285714285714,0.01642684690169795,-0.620095687318482,35.817817142857145,-0.014128559657505606,0.03573871388512495
XRP,12,sun_00,5,4,0.10053264904631393,0.005216356864333221,0.09200181810534101,0.33171727261471823,0.5,-0.0032576172379566136,-0.12171825430859569,35.91296930555555,-0.1404000186920166,0.09531629218198072
XRP,12,sun_00,30,4,0.137505951083159,0.0778997147515447,2.692952793384656,9.709579378952359,1.0,0.06699638305681732,0.028114425931940797,35.91296930555555,-0.1404000186920166,0.0596062363316143
XRP,12,sun_00,60,4,0.11693194917605444,0.063691697784444,1.5498547604389044,5.588080808284427,0.75,0.06506472832552034,-0.03445421052772291,35.91296930555555,-0.1404000186920166,0.05324025139161044
XRP,12,sun_00,240,4,0.2996745476131548,0.25711972375705383,1.9298300197206717,6.958101089032563,1.0,0.16953035423579088,0.0427937495818061,35.91296930555555,-0.1404000186920166,0.042554823856101036
