asset,entry_hour,exit,match_window_min,n_fridays,n,gross_per_vega,net_per_vega,t,sharpe,hit_rate,median,worst,mean_hold_hours,mean_iv_change,cost_per_vega
BTC,12,sun_00,45,496,227,0.06578218905147247,-0.036274832306166564,-3.396887366812257,-1.6258103729368723,0.43171806167400884,-0.023425476926496932,-0.918608233002827,35.47526014929026,-0.022603524960085167,0.10205702135763904
BTC,12,sun_00,120,496,233,0.07367721655491523,-0.027394341176568526,-2.805203445016791,-1.325220284761777,0.41201716738197425,-0.022582821167457273,-0.5415735377475116,34.22653977110158,-0.023343348237066318,0.10107155773148373
BTC,12,sun_00,240,496,244,0.10249728199761482,0.003661581997992666,0.3968709809314739,0.18321292287317428,0.5204918032786885,0.003426631259925909,-0.6344431628085945,32.226974987477234,-0.030411883729403132,0.09883569999962216
BTC,12,sun_00,480,496,266,0.11266663499899332,0.016899896900352412,1.869292095369021,0.8264907987836044,0.5676691729323309,0.009878135936523074,-0.8324047545501649,28.308973206975775,-0.024533457540927974,0.0957667380986409
ETH,12,sun_00,45,386,158,0.0691784343212438,-0.05667984014314323,-3.7931431490536656,-2.176067492087654,0.37341772151898733,-0.03199039635587922,-1.0660875341659468,35.515545007032344,-0.017919618600531463,0.12585827446438705
ETH,12,sun_00,120,386,152,0.07615710324258741,-0.04566377349870236,-2.802758420419829,-1.6393268188501013,0.40131578947368424,-0.04317846208171275,-1.2836317980585958,34.421316787280695,-0.009343423090483013,0.12182087674128979
ETH,12,sun_00,240,386,168,0.1059046201201802,-0.01631875330729688,-1.0224979024612917,-0.5688653177073227,0.5238095238095238,0.00804049573983076,-1.2836317980585958,32.34660136574074,-0.0339577396426882,0.12222337342747708
ETH,12,sun_00,480,386,181,0.1211715592486488,0.007977420438486054,0.547411789033983,0.2934110938806566,0.5524861878453039,0.015510663670083066,-0.8112450100758839,28.576023914978517,0.0025939260925377243,0.11319413881016274
SOL,12,sun_00,45,126,7,-0.02622988814303128,-0.12915143556242598,-1.383169162720161,-3.769883675742331,0.2857142857142857,-0.08827604633281254,-0.6487276436713313,35.817817142857145,-0.014128559657505606,0.10292154741939472
SOL,12,sun_00,120,126,10,0.09329094820061577,-0.023692314914380237,-0.4699883940981827,-1.0717384340651133,0.5,-0.014658759574865725,-0.32672181257981986,34.67188958333334,-0.07686999511718752,0.116983263114996
SOL,12,sun_00,240,126,11,0.1498172312700046,0.03380966505416054,0.6020182539929513,1.3089256824280646,0.7272727272727273,0.020170557986762053,-0.3123405876134416,32.765856868686875,-0.011790910200639226,0.11600756621584404
SOL,12,sun_00,480,126,15,0.11858213302721908,-0.0008993873972461911,-0.013712311247674748,-0.02553093410898706,0.6,0.07550890543396628,-0.5118855288738551,29.525845851851848,-0.036039990743001286,0.11948152042446529
XRP,12,sun_00,45,127,4,0.10053264904631393,0.005216356864333221,0.09200181810534101,0.33171727261471823,0.5,-0.0032576172379566136,-0.12171825430859569,35.91296930555555,-0.1404000186920166,0.09531629218198072
XRP,12,sun_00,120,127,4,0.033619398463585026,-0.06115535407833848,-1.295727728401912,-4.671812763793571,0.25,-0.06994568084723263,-0.15567067125640036,34.73263729166666,0.01009998321533205,0.0947747525419235
XRP,12,sun_00,240,127,3,0.048094913289853665,-0.08899370721330753,-1.7777536241877532,-7.401378549798678,0.3333333333333333,-0.12033551316030269,-0.15567067125640036,34.26349444444444,-0.009800008138020807,0.1370886205031612
XRP,12,sun_00,480,127,3,0.18667616300758447,0.05912722090522662,0.5830720308715784,2.4275224438100644,0.3333333333333333,-0.025400653572166604,-0.05826797058057855,30.518140185185185,-0.07343334197998047,0.12754894210235787
