f_iv,f_iv_premium,f_wd_vol,f_friday_move_abs,f_funding_abs,f_wknd_frac,f_dvol_chg,f_T_days,entry_ts,exit_ts,instrument,strike,cp,expiry,hold_hours,wknd_frac,index_in,index_out,index_move_pct,iv_in,iv_out,iv_change,premium_in,premium_out,option_pnl,hedge_pnl,perp_fees,option_fees,spread_cost,vega_usd,gross_usd,net_usd,gross_per_vega,net_per_vega
0.754,,,,,0.298638,,6.69706,2017-11-24 15:16:13.984000+00:00,2017-11-26 00:00:00+00:00,BTC-1DEC17-8500-C,8500,C,2017-12-01 08:00:00+00:00,32.7294,0.298638,8206.41,8722.49,6.28874,0.754,0.7517,-0.00230003,216.587,435.818,-219.23,-2.22045e-16,0.00258356,5.07867,3.74586,429.616,-219.23,-228.058,-0.510294,-0.530841
0.943,,,,,0.299893,,6.66905,2018-04-27 15:56:34.135000+00:00,2018-04-29 00:00:00+00:00,BTC-4MAY18-9500-C,9500,C,2018-05-04 08:00:00+00:00,32.0572,0.299893,9224.32,9411.7,2.03137,0.943,0.9212,-0.0218,356.208,377.173,-20.9649,-1.11022e-16,0.00129471,5.59081,4.33176,496.814,-20.9649,-30.8887,-0.0421987,-0.0621737
0.6716,,,,,0.297938,,6.7128,2018-05-25 14:53:34.195000+00:00,2018-05-27 00:00:00+00:00,BTC-1JUN18-7750-C,7750,C,2018-06-01 08:00:00+00:00,33.1072,0.297938,7486.62,7242.46,-3.26128,0.6716,0.7096,0.038,167.014,78.6272,88.387,4.44089e-15,0.0173181,4.41872,3.374,386.967,88.387,80.5769,0.22841,0.208227
0.6723,,,,,0.299717,,6.67297,2018-06-29 15:50:55.692000+00:00,2018-07-01 00:00:00+00:00,BTC-6JUL18-5750-P,5750,P,2018-07-06 08:00:00+00:00,32.1512,0.299717,5885.37,6385.71,8.50142,0.6723,0.7375,0.0652,152.525,31.7903,120.734,0,0.908561,3.68132,2.67866,307.217,120.734,113.466,0.392993,0.369334
0.659,,,,,0.297808,,6.71574,2018-07-20 14:49:19.897000+00:00,2018-07-22 00:00:00+00:00,BTC-27JUL18-7500-C,7500,C,2018-07-27 08:00:00+00:00,33.1778,0.297808,7458.86,7375.77,-1.11398,0.659,0.6136,-0.0454,248.889,163.476,85.4131,-7.10543e-15,0.0404868,4.45039,3.54951,407.097,85.4131,77.3727,0.20981,0.19006
0.6705,0.825909,0.811833,2.57286,,0.297081,,6.73216,2018-08-17 14:25:40.977000+00:00,2018-08-19 00:00:00+00:00,BTC-24AUG18-6500-C,6500,C,2018-08-24 08:00:00+00:00,33.572,0.297081,6430.62,6366.06,-1.00395,0.6705,0.6524,-0.0181001,203.472,142.377,61.0946,-53.0307,8.68212,3.839,3.05285,350.135,8.06388,-7.51009,0.0230308,-0.0214491
0.5964,1.51268,0.394267,0.292713,,0.298601,,6.6979,2018-09-14 15:15:01.268000+00:00,2018-09-16 00:00:00+00:00,BTC-21SEP18-6500-P,6500,P,2018-09-21 08:00:00+00:00,32.7496,0.298601,6458.99,6490.45,0.487129,0.5964,0.5933,-0.00309998,232.019,190.609,41.4108,-26.0599,5.73864,3.88483,3.07201,352.331,15.3509,2.65546,0.0435696,0.00753683
0.4705,1.20399,0.390783,0.612169,,0.299831,,6.67041,2018-09-28 15:54:36.257000+00:00,2018-09-30 00:00:00+00:00,BTC-5OCT18-6750-C,6750,C,2018-10-05 08:00:00+00:00,32.0899,0.299831,6642.78,6575.61,-1.01111,0.4705,0.4985,0.028,123.631,87.8241,35.807,-41.8871,7.53725,3.96552,3.0883,354.2,-6.08011,-20.6712,-0.0171657,-0.0583601
0.3858,1.41568,0.272519,0.137237,,0.298433,,6.70167,2018-10-05 15:09:35.713000+00:00,2018-10-07 00:00:00+00:00,BTC-12OCT18-6500-P,6500,P,2018-10-12 08:00:00+00:00,32.8401,0.298433,6544.03,6551.09,0.107998,0.3858,0.4729,0.0871,116.44,124.641,-8.20147,-5.84004,4.15119,3.92854,3.07771,352.985,-14.0415,-25.199,-0.0397793,-0.0713881
0.3697,1.5051,0.245631,0.220681,,0.294752,,6.78537,2018-11-02 13:09:04.094000+00:00,2018-11-04 00:00:00+00:00,BTC-9NOV18-6250-C,6250,C,2018-11-09 08:00:00+00:00,34.8489,0.294752,6354.26,6326,-0.444703,0.3697,0.2666,-0.1031,186.035,124.458,61.5763,-11.4341,3.25276,3.80408,2.84222,325.977,50.1422,40.2431,0.153821,0.123454
0.6339,0.62883,1.00806,0.35132,,0.299594,,6.6757,2018-11-16 15:46:59.783000+00:00,2018-11-18 00:00:00+00:00,BTC-23NOV18-5500-P,5500,P,2018-11-23 08:00:00+00:00,32.2167,0.299594,5522.25,5501.27,-0.379988,0.6339,0.8553,0.2214,179.716,226.145,-46.4281,5.28995,5.01915,3.30706,2.61765,300.221,-41.1381,-52.082,-0.137026,-0.173479
0.9082,0.604327,1.50283,0.0468165,,0.299734,,6.67259,2018-11-23 15:51:27.989000+00:00,2018-11-25 00:00:00+00:00,BTC-30NOV18-4250-P,4250,P,2018-11-30 08:00:00+00:00,32.1422,0.299734,4265.54,3791.46,-11.1141,0.9082,1.4006,0.4924,203.265,559.732,-356.467,282.703,5.95438,2.4171,2.02165,231.865,-73.7635,-84.1567,-0.318131,-0.362955
1.2102,0.884603,1.36807,6.54636,,0.299666,,6.67409,2018-11-30 15:49:18.866000+00:00,2018-12-02 00:00:00+00:00,BTC-7DEC18-3750-P,3750,P,2018-12-07 08:00:00+00:00,32.1781,0.299666,3921.3,4139.38,5.56161,1.2102,1.2011,-0.00909996,176.575,84.3489,92.2257,-69.1818,3.70186,2.4182,1.75385,201.151,23.0439,15.17,0.11456,0.075416
