f_iv,f_iv_premium,f_wd_vol,f_friday_move_abs,f_funding_abs,f_wknd_frac,f_dvol_chg,f_T_days,entry_ts,exit_ts,instrument,strike,cp,expiry,hold_hours,wknd_frac,index_in,index_out,index_move_pct,iv_in,iv_out,iv_change,premium_in,premium_out,option_pnl,hedge_pnl,perp_fees,option_fees,spread_cost,vega_usd,gross_usd,net_usd,gross_per_vega,net_per_vega
0.9644,0.637545,1.51268,3.38502,,0.299741,,6.67244,2019-04-05 15:51:41.508000+00:00,2019-04-07 00:00:00+00:00,ETH-12APR19-160-C,160,C,2019-04-12 08:00:00+00:00,32.1385,0.299741,164.497,166.091,0.969069,0.9644,0.9428,-0.0216,10.9711,10.8489,0.122158,0.00935777,0.232859,0.0991767,0.116743,8.64352,0.131516,-0.317264,0.0152155,-0.0367053
0.774,0.885129,0.874449,1.64406,8.00412e-05,0.289995,,6.89668,2019-05-10 10:28:46.928000+00:00,2019-05-12 00:00:00+00:00,ETH-17MAY19-180-C,180,C,2019-05-17 08:00:00+00:00,37.5203,0.289995,172.938,202.626,17.1668,0.774,1.3045,0.5305,4.44677,26.5633,-22.1165,11.2407,0.384868,0.112669,0.120944,8.95452,-10.8758,-11.4943,-1.21456,-1.28363
1.2507,0.634327,1.9717,12.4489,0.00110584,0.299011,,6.68871,2019-05-17 15:28:15.736000+00:00,2019-05-19 00:00:00+00:00,ETH-24MAY19-230-P,230,P,2019-05-24 08:00:00+00:00,32.529,0.299011,233.209,235.671,1.05577,1.2507,1.0189,-0.2318,14.2396,8.82023,5.41935,-2.72074,0.418539,0.140664,0.169568,12.5546,2.69861,1.96983,0.214949,0.156901
1.0337,1.03928,0.994632,3.27882,0.000221066,0.299047,,6.68792,2019-05-24 15:29:24.117000+00:00,2019-05-26 00:00:00+00:00,ETH-31MAY19-260-C,260,C,2019-05-31 08:00:00+00:00,32.51,0.299047,254.933,253.011,-0.754119,1.0337,1.0681,0.0343999,12.1222,10.0008,2.12139,-1.4633,0.289773,0.152383,0.187513,13.8832,0.658095,0.0284255,0.0474022,0.00204747
0.9532,1.0099,0.943852,0.661798,0.000143315,0.293485,,6.81467,2019-07-26 12:26:52.925000+00:00,2019-07-28 00:00:00+00:00,ETH-2AUG19-230-C,230,C,2019-08-02 08:00:00+00:00,35.552,0.293485,217.247,206.483,-4.95449,0.9532,0.9112,-0.042,6.34334,2.07812,4.26522,-3.78068,0.224874,0.127119,0.14945,11.0651,0.484539,-0.0169033,0.0437901,-0.00152763
0.8757,0.886914,0.987356,0.74607,4.60133e-05,0.299418,,6.67963,2019-08-16 15:41:20.280000+00:00,2019-08-18 00:00:00+00:00,ETH-23AUG19-190-C,190,C,2019-08-23 08:00:00+00:00,32.311,0.299418,186.204,186.437,0.125222,0.8757,0.8647,-0.011,7.21518,6.19189,1.02329,0.156548,0.181266,0.111793,0.136475,10.1045,1.17984,0.750303,0.116764,0.0742547
0.647,1.26168,0.512807,1.48678,0.000184607,0.29831,,6.70444,2019-09-13 15:05:36.666000+00:00,2019-09-15 00:00:00+00:00,ETH-20SEP19-180-C,180,C,2019-09-20 08:00:00+00:00,32.9065,0.29831,179.038,189.206,5.6795,0.647,0.6083,-0.0387,5.86841,11.2162,-5.34781,6.3074,0.182209,0.110473,0.13198,9.77162,0.95959,0.534928,0.0982017,0.054743
0.7433,0.901975,0.82408,2.43847,0.000148827,0.299392,,6.6802,2019-09-20 15:40:30.589000+00:00,2019-09-22 00:00:00+00:00,ETH-27SEP19-220-C,220,C,2019-09-27 08:00:00+00:00,32.3248,0.299392,217.127,216.625,-0.230815,0.7433,0.7839,0.0406,7.50127,6.67189,0.829382,-0.853653,0.274841,0.130126,0.159588,11.8156,-0.0242708,-0.588825,-0.00205412,-0.0498343
0.5553,0.944223,0.588103,0.810263,3.45178e-05,0.296998,,6.73404,2019-12-06 14:22:58.838000+00:00,2019-12-08 00:00:00+00:00,ETH-13DEC19-150-C,150,C,2019-12-13 08:00:00+00:00,33.617,0.296998,146.895,147.33,0.295999,0.5553,0.6056,0.0503,3.11555,3.1357,-0.0201573,-0.122082,0.140577,0.0882677,0.105294,7.79583,-0.14224,-0.476379,-0.0182456,-0.0611068
0.8346,0.776499,1.07482,1.57911,0.000179797,0.29916,,6.68539,2020-01-17 15:33:02.708000+00:00,2020-01-19 00:00:00+00:00,ETH-24JAN20-170-C,170,C,2020-01-24 08:00:00+00:00,32.4492,0.29916,167.69,174.35,3.97163,0.8346,0.7373,-0.0973,6.58805,8.53893,-1.95089,2.54963,0.325414,0.102612,0.123389,9.13553,0.598746,0.0473312,0.0655404,0.005181
