f_iv,f_iv_premium,f_wd_vol,f_friday_move_abs,f_funding_abs,f_wknd_frac,f_dvol_chg,f_T_days,entry_ts,exit_ts,instrument,strike,cp,expiry,hold_hours,wknd_frac,index_in,index_out,index_move_pct,iv_in,iv_out,iv_change,premium_in,premium_out,option_pnl,hedge_pnl,perp_fees,option_fees,spread_cost,vega_usd,gross_usd,net_usd,gross_per_vega,net_per_vega
0.5736,0.858415,0.668208,1.97949,,0.798587,,1.66962,2024-11-01 15:55:45.230000+00:00,2024-11-03 00:00:00+00:00,SOL_USDC-3NOV24-167-C,167,C,2024-11-03 08:00:00+00:00,32.0708,0.798587,165.275,165.976,0.424263,0.5736,0.4782,-0.0954,1.91902,0.533468,1.38555,-0.524411,0.526821,0.0993752,0.0125192,4.54556,0.86114,0.222424,0.189446,0.0489323
0.9545,0.973634,0.980347,1.17414,,0.776133,,1.71792,2024-11-22 14:46:11.859000+00:00,2024-11-24 00:00:00+00:00,SOL_USDC-24NOV24-250-P,250,P,2024-11-24 08:00:00+00:00,33.23,0.776133,255.258,255.799,0.211825,0.9545,0.7207,-0.2338,4.50748,0.414527,4.09296,-2.08107,0.616741,0.128393,0.0187512,6.8083,2.01189,1.248,0.295505,0.183306
0.7154,0.819791,0.872661,1.02923,,0.742921,,1.79472,2024-12-27 12:55:36.397000+00:00,2024-12-29 00:00:00+00:00,SOL_USDC-29DEC24-190-P,190,P,2024-12-29 08:00:00+00:00,35.0732,0.742921,190.419,194.225,1.99853,0.7154,0.6245,-0.0909,3.64086,0.21825,3.42261,-2.76735,0.528386,0.0844071,0.014793,5.37114,0.655266,0.0276791,0.121998,0.00515331
1.2033,0.767266,1.5683,5.19811,,0.799446,,1.66782,2025-02-28 15:58:20.178000+00:00,2025-03-02 00:00:00+00:00,SOL_USDC-2MAR25-144-P,144,P,2025-03-02 08:00:00+00:00,32.0277,0.799446,145.235,143.192,-1.40716,1.2033,0.777,-0.4263,4.32562,1.78772,2.5379,-0.529779,0.389593,0.0865281,0.0111948,4.0647,2.00812,1.5208,0.494039,0.374149
0.7016,0.995401,0.704842,5.8815,,0.770063,,1.73146,2025-03-28 14:26:41.880000+00:00,2025-03-30 00:00:00+00:00,SOL_USDC-30MAR25-128-P,128,P,2025-03-30 08:00:00+00:00,33.555,0.770063,130.037,123.853,-4.75572,0.7016,0.9489,0.2473,1.66843,4.37196,-2.70353,2.10756,0.401295,0.076167,0.00954954,3.46731,-0.59597,-1.08298,-0.171882,-0.312341
0.4888,0.787151,0.620973,0.48274,,0.784773,,1.699,2025-05-02 15:13:26.021000+00:00,2025-05-04 00:00:00+00:00,SOL_USDC-4MAY25-152-C,152,C,2025-05-04 08:00:00+00:00,32.7761,0.784773,150.625,146.451,-2.77112,0.4888,0.8435,0.3547,1.47506,0.122295,1.35276,-1.24297,0.276779,0.0604743,0.0113824,4.13281,0.109791,-0.238845,0.0265656,-0.0577924
0.7525,0.947346,0.794324,8.01394,,0.79906,,1.66863,2025-08-22 15:57:10.565000+00:00,2025-08-24 00:00:00+00:00,SOL_USDC-24AUG25-194-C,194,C,2025-08-24 08:00:00+00:00,32.0471,0.79906,194.504,204.284,5.02802,0.7525,1.14,0.3875,4.38931,10.485,-6.09569,7.22582,0.394868,0.119636,0.0151033,5.48379,1.13014,0.600528,0.206086,0.10951
1.0031,0.881164,1.13838,6.21169,,0.795362,,1.67638,2025-11-21 15:46:00.358000+00:00,2025-11-23 00:00:00+00:00,SOL_USDC-23NOV25-124-P,124,P,2025-11-23 08:00:00+00:00,32.2332,0.795362,126.213,127.955,1.38021,1.0031,0.8671,-0.136,2.55032,0.185897,2.36442,-1.84686,0.377897,0.0611009,0.00943892,3.42715,0.517564,0.0691274,0.151019,0.0201706
0.6634,0.729949,0.90883,5.131,,0.776305,,1.71754,2025-12-19 14:46:44.737000+00:00,2025-12-21 00:00:00+00:00,SOL_USDC-21DEC25-126-C,126,C,2025-12-21 08:00:00+00:00,33.2209,0.776305,126.025,125.764,-0.20726,0.6634,0.5611,-0.1023,2.37605,0.738779,1.63727,-0.647094,0.270381,0.0755368,0.00980989,3.56184,0.990181,0.634454,0.277997,0.178125
0.4346,0.683302,0.636029,1.21446,,0.798524,,1.66975,2026-01-16 15:55:33.858000+00:00,2026-01-18 00:00:00+00:00,SOL_USDC-18JAN26-142-P,142,P,2026-01-18 08:00:00+00:00,32.0739,0.798524,140.844,143.754,2.06633,0.4346,0.4565,0.0219,2.37665,0.201622,2.17503,-1.74794,0.279415,0.0674558,0.0106301,3.85964,0.427083,0.069582,0.110654,0.0180281
0.6449,0.735143,0.877245,3.59016,,0.797679,,1.67152,2026-02-27 15:53:00.985000+00:00,2026-03-01 00:00:00+00:00,SOL_USDC-1MAR26-84-C,84,C,2026-03-01 08:00:00+00:00,32.1164,0.797679,82.9801,84.3283,1.62473,0.6449,0.5885,-0.0564,1.0663,0.775588,0.290708,-0.412391,0.266652,0.0501925,0.00627155,2.27712,-0.121683,-0.4448,-0.0534375,-0.195335
