term,beta,se,t,n,n_clusters,spec,asset
wknd_life,0.04445162095499066,0.010888531360235288,4.082425763802008,21438,483,A. within entry instant,BTC
T_days,0.005685449630172414,0.0013904381552293848,4.088962611382358,21438,483,A. within entry instant,BTC
wknd_life,0.043618855323585635,0.01088708286541809,4.0064777555921145,21438,483,A2. + moneyness,BTC
T_days,0.005701199839167029,0.0013902708503763538,4.100783554243177,21438,483,A2. + moneyness,BTC
abs_delta,-0.12439263899216885,0.049185967675486934,-2.529026973970933,21438,483,A2. + moneyness,BTC
wknd_hold,-0.03602211342416313,0.005260445214884597,-6.847730933921223,21438,483,B. within month,BTC
wknd_life,0.06127111316149743,0.009164166229037282,6.685945194594545,21438,483,B. within month,BTC
T_days,0.00730088859084098,0.0012429368624414653,5.87390141161318,21438,483,B. within month,BTC
wknd_hold,0.07219756040319837,0.0047195217433113786,15.297643348188515,21438,483,C. change in the contract IV,BTC
wknd_life,-0.08078206185626108,0.007793433500710896,-10.365400801699579,21438,483,C. change in the contract IV,BTC
T_days,-0.008498478801798735,0.0008829051636405328,-9.625585115797122,21438,483,C. change in the contract IV,BTC
wknd_life,0.06044426671333646,0.00923738784142964,6.54343714380425,21438,483,D. + holding period,BTC
wknd_hold,-0.03471162801106259,0.00536108011659792,-6.4747452483680075,21438,483,D. + holding period,BTC
T_days,0.006476280398759673,0.0013667475086366386,4.73846146258566,21438,483,D. + holding period,BTC
hold_hours,0.00017022644284355506,9.696110144076697e-05,1.7556158120537184,21438,483,D. + holding period,BTC
wknd_life,0.05166455582493671,0.01661811190382188,3.1089305526372555,21438,483,E. term_gamma,BTC
wknd_hold,0.03242330002811396,0.008971551470238539,3.6140125970042365,21438,483,E. term_gamma,BTC
T_days,0.026097730019228698,0.0020418996918728604,12.781102873516513,21438,483,E. term_gamma,BTC
hold_hours,-0.0021829463588224286,0.00019416545536620692,-11.242712328540984,21438,483,E. term_gamma,BTC
wknd_life,-0.024278012348122848,0.002232461640897295,-10.874996418018975,21438,483,E. term_theta,BTC
wknd_hold,-0.003351091358083629,0.0008753821076754528,-3.8281469642809327,21438,483,E. term_theta,BTC
T_days,-0.02902269919651339,0.0005752716202660187,-50.45042754428358,21438,483,E. term_theta,BTC
hold_hours,0.00285900197269637,4.854265491035687e-05,58.896695658201104,21438,483,E. term_theta,BTC
