asset,window,bucket,n_trades,share_of_trades,contracts,notional_usd,vega_usd,share_of_vega,median_vega_per_trade,median_premium_usd,median_half_spread_volpts,n_instrument_days,usable,applied_volpts
BTC,all,deep ITM,235583,0.019012018706400242,212976.47999999998,9366598105.168657,154824111.61559084,0.008118576893808365,439.6272583012166,3910.2441947985917,0.6546218012904254,5833,True,0.6546218012904254
BTC,all,ITM,496214,0.0400454610493019,513475.14999999997,23341203635.736404,820608437.8121614,0.04303058892162317,1221.63266484091,1727.1463880982506,0.4559373458226518,22065,True,0.4559373458226518
BTC,all,ATM,3836460,0.30960998580693966,4850741.45,235341447033.59167,8312869783.805099,0.4359054403335047,1717.1011806495637,840.6971796940584,0.3254932896645496,74154,True,0.3254932896645496
BTC,all,OTM,3893315,0.3141982978818873,6071437.9,291440666161.1212,6740150402.338497,0.35343609432801104,1336.275762439076,348.4222330465763,0.336640782432196,85921,True,0.336640782432196
BTC,all,deep OTM,3929695,0.3171342365554709,5918612.61,288979565399.8379,3041898342.0500927,0.1595092995230529,545.7926200720826,81.2839137443801,0.44610538959503204,76258,True,0.44610538959503204
BTC,friday_noon,deep ITM,7338,0.010599098975478208,6546.89,302556979.47837174,6150907.6988611575,0.004955633551122199,548.1688586880018,3881.8364497578523,0.6546218012904254,5833,True,0.6546218012904254
BTC,friday_noon,ITM,24364,0.03519166631760031,23446.1,1167715954.5876098,47019860.136898614,0.037882733390167844,1366.62619717614,1729.70852965428,0.4559373458226518,22065,True,0.4559373458226518
BTC,friday_noon,ATM,218432,0.3155059127025969,284881.46,14536541529.54572,538135677.0170076,0.43356254826829893,1947.039317202366,878.8986606306903,0.3254932896645496,74154,True,0.3254932896645496
BTC,friday_noon,OTM,231592,0.3345143812931247,372876.43000000005,18155072681.773388,459115940.75290203,0.3698983095245225,1479.6289052954498,372.83293694883037,0.336640782432196,85921,True,0.336640782432196
BTC,friday_noon,deep OTM,210597,0.30418894071119984,357154.84,17604590947.00683,190772637.2725435,0.15370077526588846,629.0326254242215,92.71934703733162,0.44610538959503204,76258,True,0.44610538959503204
ETH,all,deep ITM,144254,0.01705384218616983,1761478.0,3962489605.443371,4303213.164982252,0.007559512729591449,21.73853555893637,253.12732370251274,1.1500976911557215,3939,True,1.1500976911557215
ETH,all,ITM,294115,0.034770549132678054,3533080.0,7598428943.662289,20697828.630216017,0.03636015530865891,55.821676065003444,98.4874596251377,0.7824684127857418,14894,True,0.7824684127857418
ETH,all,ATM,2625482,0.31038692646740845,36036402.0,85584962655.39883,254402676.5168391,0.4469126203696006,78.57413817380734,49.17113038972701,0.5058301044542662,56352,True,0.5058301044542662
ETH,all,OTM,2750815,0.32520391041738017,46571982.0,108074259983.60992,203412398.0576359,0.35733730901052485,60.981335568014224,19.859430485956572,0.5011216905381977,66869,True,0.5011216905381977
ETH,all,deep OTM,2644073,0.3125847717963635,44958185.0,101426535908.44254,86428664.2016292,0.15183040258162425,24.67017226260153,4.721617263695215,0.6191461404493698,55124,True,0.6191461404493698
ETH,friday_noon,deep ITM,4988,0.010596870651469604,48218.0,105887933.11411294,168306.12846155267,0.004642776858880301,26.39299141466102,258.5187545896899,1.1500976911557215,3939,True,1.1500976911557215
ETH,friday_noon,ITM,12587,0.02674073995389894,137326.0,300817871.1548014,931077.3057551959,0.02568405683442671,57.42583266389294,93.59098716094064,0.7824684127857418,14894,True,0.7824684127857418
ETH,friday_noon,ATM,141560,0.30074037879351184,2152831.0,5188698219.664003,15395002.444891166,0.4246759268179234,88.73230122925952,51.56188472974745,0.5058301044542662,56352,True,0.5058301044542662
ETH,friday_noon,OTM,161703,0.3435336357166378,2976639.0,6962246978.856057,13885467.91775076,0.3830349477617788,71.86507619721797,22.05443585420956,0.5011216905381977,66869,True,0.5011216905381977
ETH,friday_noon,deep OTM,149867,0.3183883748844818,3057839.0,6978618088.994545,5871323.801657896,0.16196229172699084,30.573453579625145,5.698801464989892,0.6191461404493698,55124,True,0.6191461404493698
