trade_no,asset,rehedge_min,entry_ts,exit_ts,instrument,strike,cp,expiry,hold_hours,wknd_frac,index_in,index_out,index_move_pct,iv_in,iv_out,iv_change,premium_in,premium_out,option_pnl,hedge_pnl,perp_fees,option_fees,spread_cost,vega_usd,gross_usd,net_usd,gross_per_vega,net_per_vega,cum_net_per_vega
1,ETH,60,2019-05-03 12:07:29.611000+00:00,2019-05-05 00:00:00+00:00,ETH-10MAY19-170-P,170,P,2019-05-10 08:00:00+00:00,35.8751,0.292906,166.916,162.104,-2.8823,0.6414,0.6287,-0.0127,7.56607,9.93486,-2.36878,2.24389,0.104362,0.098706,0.121401,8.98839,-0.124896,-0.449366,-0.0138953,-0.049994,-0.049994
2,ETH,60,2019-05-24 12:34:40.433000+00:00,2019-05-26 00:00:00+00:00,ETH-31MAY19-260-C,260,C,2019-05-31 08:00:00+00:00,35.4221,0.293718,252.709,253.011,0.119586,1.0356,1.0681,0.0325,11.1239,10.0008,1.12306,-0.548854,0.122592,0.151716,0.184747,13.6784,0.574204,0.11515,0.0419788,0.00841835,-0.0415757
3,ETH,60,2019-07-26 12:26:52.925000+00:00,2019-07-28 00:00:00+00:00,ETH-2AUG19-230-C,230,C,2019-08-02 08:00:00+00:00,35.552,0.293485,217.247,206.483,-4.95449,0.9532,0.9112,-0.042,6.34334,2.07812,4.26522,-4.11252,0.0993211,0.127119,0.14945,11.0651,0.152697,-0.223193,0.0137999,-0.0201709,-0.0617466
4,ETH,60,2019-09-27 12:25:48.757000+00:00,2019-09-29 00:00:00+00:00,ETH-4OCT19-170-C,170,C,2019-10-04 08:00:00+00:00,35.5698,0.293453,165.827,173.958,4.90292,0.9707,1.0265,0.0558,6.95914,10.6323,-3.67314,3.60936,0.0981666,0.101935,0.121371,8.98611,-0.06378,-0.385252,-0.00709762,-0.042872,-0.104619
5,ETH,60,2019-12-06 12:40:13.119000+00:00,2019-12-08 00:00:00+00:00,ETH-13DEC19-150-C,150,C,2019-12-13 08:00:00+00:00,35.3297,0.293884,147.016,147.33,0.213624,0.5652,0.6056,0.0404,3.24233,3.1357,0.106629,0.0268791,0.0606655,0.0883039,0.105771,7.83113,0.133508,-0.121232,0.0170483,-0.0154809,-0.120099
6,ETH,60,2020-01-17 12:37:42.726000+00:00,2020-01-19 00:00:00+00:00,ETH-24JAN20-170-C,170,C,2020-01-24 08:00:00+00:00,35.3715,0.293809,168.968,174.35,3.18536,0.7826,0.7373,-0.0453,6.73234,8.53893,-1.8066,1.83211,0.131561,0.102995,0.124573,9.2232,0.0255188,-0.33361,0.00276681,-0.0361707,-0.15627
7,ETH,60,2020-01-24 11:34:02.768000+00:00,2020-01-26 00:00:00+00:00,ETH-31JAN20-160-C,160,C,2020-01-31 08:00:00+00:00,36.4326,0.291913,159.014,159.795,0.490922,0.5827,0.633,0.0503,4.59456,4.77803,-0.183464,-0.177068,0.113025,0.0956429,0.117152,8.67379,-0.360532,-0.686353,-0.0415657,-0.0791295,-0.2354
8,ETH,60,2020-01-31 12:41:22.818000+00:00,2020-02-02 00:00:00+00:00,ETH-7FEB20-180-P,180,P,2020-02-07 08:00:00+00:00,35.3103,0.293919,178.037,183.697,3.17922,0.6231,0.6655,0.0424,7.11861,4.17106,2.94756,-3.20993,0.119028,0.10852,0.130776,9.68247,-0.26237,-0.620694,-0.0270975,-0.064105,-0.299505
9,ETH,60,2020-02-07 12:22:50.665000+00:00,2020-02-09 00:00:00+00:00,ETH-14FEB20-230-C,230,C,2020-02-14 08:00:00+00:00,35.6193,0.293364,220.074,224.231,1.88888,0.8853,0.9127,0.0274,6.61703,7.36997,-0.752935,1.11288,0.110946,0.133291,0.154942,11.4717,0.359941,-0.0392389,0.0313763,-0.00342049,-0.302925
10,ETH,60,2020-02-14 12:40:33.038000+00:00,2020-02-16 00:00:00+00:00,ETH-21FEB20-280-C,280,C,2020-02-21 08:00:00+00:00,35.3242,0.293894,271.602,262.898,-3.20501,0.9514,1.0851,0.1337,10.5035,7.2477,3.25579,-4.25068,0.162287,0.16035,0.197408,14.6159,-0.994895,-1.51494,-0.0680696,-0.10365,-0.406576
