asset,rehedge_minutes,n,half_spread_volpts,gross,fees_both_legs,spread_both_legs,as_coded_mean,taker_n,taker_mean,taker_t,taker_sharpe,maker_n,maker_mean,maker_t,maker_sharpe,taker_recent,maker_recent,maker_recent_t
BTC,5,1231,0.41565341281430274,0.022551033071312555,0.25991336180560154,0.00830025721953792,0.02094760176710833,1231,-0.24566258595382687,-44.90174102170603,-20.315823195904578,1231,-0.22906207151475108,-41.8673625144491,-18.942916581145823,-0.2824370733805682,-0.26589391777956645,-29.281362703837004
BTC,60,1231,0.41565341281430274,0.01922405968518321,0.10712716202026815,0.00830025721953792,0.015982762764418037,1231,-0.09620335955462285,-15.116378458748306,-6.839415691740207,1231,-0.07960284511554701,-12.50765960483284,-5.659099075991398,-0.1325081438626189,-0.11596498826161715,-11.901550923253618
BTC,480,1231,0.41565341281430274,0.03108952196488923,0.0657625213594726,0.00830025721953792,0.028835352754527727,1231,-0.04297325661412128,-4.778305716511009,-2.1619476640268918,1231,-0.026372742175045448,-2.9323676513475987,-1.3267517337772996,-0.08237682614306571,-0.06583367054206397,-4.311898695542913
BTC,1440,1231,0.41565341281430274,0.041758106131526335,0.05793789248020441,0.00830025721953792,0.039148644701482785,1231,-0.024480043568216,-2.0880659504283723,-0.9447468562473904,1231,-0.007879529129140164,-0.6720863718917892,-0.30408593504492537,-0.059689173223022605,-0.04314601762202088,-2.0139869038247533
ETH,5,1213,0.6342301882230339,0.021183921989135074,0.2662853773901812,0.012659465918376052,0.015111388364942606,1213,-0.25776092131942224,-32.49264511818906,-14.80999586317249,1213,-0.23244198948267006,-29.290929462076473,-13.350668823172962,-0.29187941711814447,-0.26665169484087015,-23.654415945232053
ETH,60,1213,0.6342301882230339,0.016409940950968368,0.10858104399192195,0.012659465918376052,0.011694103308013303,1213,-0.10483056895932967,-13.056998462643698,-5.951318906596308,1213,-0.07951163712257756,-9.89955333044899,-4.512170164599277,-0.15565745158184494,-0.13042972930457064,-9.131305062897738
ETH,480,1213,0.6342301882230339,0.01687730591150173,0.06628693120308593,0.012659465918376052,0.013445301242143135,1213,-0.06206909120996026,-5.316398762939982,-2.423189721850036,1213,-0.03675015937320814,-3.1472242457676596,-1.434490109708033,-0.09580477621290336,-0.07057705393562906,-3.3641981070021103
ETH,1440,1213,0.6342301882230339,0.04184667514129989,0.05805668960285741,0.012659465918376054,0.038427267997003425,1213,-0.02886948037993359,-1.821219469477129,-0.8301033267921509,1213,-0.0035505485431814696,-0.22396636524154917,-0.10208282307125352,-0.06837135676813391,-0.0431436344908596,-1.5038479254159123
SOL,5,377,0.13607103752367455,-0.0003805054582200978,0.27134767286284034,0.0027173553462007936,-0.010290533838328633,377,-0.27444553366726127,-22.53436269310609,-18.42361609385334,377,-0.2690108229748597,-22.087167836540097,-18.057999081793877,-0.27204173480037824,-0.2666073444558976,-16.9909166027705
SOL,60,377,0.13607103752367455,-0.02440293615521584,0.11255548585388622,0.0027173553462007923,-0.032145155709805286,377,-0.1396757773553029,-7.618909156156099,-6.229058228032633,377,-0.13424106666290128,-7.322308527919868,-5.986563857002927,-0.13461033299036818,-0.12917594264588755,-6.591850262847667
SOL,480,377,0.13607103752367455,-0.03391137831105621,0.06955848919549193,0.0027173553462007905,-0.0394692486244891,377,-0.10618722285274891,-3.9644460477056915,-3.241246846092022,377,-0.10075251216034732,-3.7614986368137173,-3.0753213554785637,-0.10544302778557967,-0.10000863744109904,-2.6728410120116752
SOL,1440,377,0.13607103752367455,-0.039678552931409046,0.06026791752944176,0.002717355346200789,-0.04458902381415137,377,-0.1026638258070516,-2.9941318987510708,-2.4479386166011143,377,-0.09722911511465002,-2.835631317835612,-2.3183519097033636,-0.08938754233829081,-0.08395315199381023,-1.8753220792798808
XRP,5,284,0.5271322178661386,-0.025427644498928856,0.2542940575029354,0.010502024607945542,-0.029095087639509742,284,-0.2902237266098098,-16.949257656931163,-15.965840345071182,284,-0.2692196773939187,-15.717166819572943,-14.805236972460229,-0.28283073178457624,-0.2618259376667877,-14.945538105774158
XRP,60,284,0.5271322178661386,-0.04489539731240802,0.1130827901392214,0.010502024607945542,-0.05277188601032948,284,-0.16848021205957497,-8.929757736137725,-8.411641926809507,284,-0.14747616284368387,-7.814276331885925,-7.360882160885655,-0.16516517666806751,-0.144160382550279,-8.388930989364054
XRP,480,284,0.5271322178661386,-0.08145258732680408,0.07120458972798217,0.010502024607945548,-0.08885499982838714,284,-0.16315920166273182,-5.2151403035486545,-4.9125512838937935,284,-0.1421551524468407,-4.543409797470009,-4.279795429210106,-0.1412637317906213,-0.12025893767283274,-3.9623813763687794
XRP,1440,284,0.5271322178661386,-0.07281564253249442,0.06168545911189743,0.010502024607945542,-0.07971781407983754,284,-0.1450031262523374,-3.3808604091026933,-3.1846986229884817,284,-0.1239990770364463,-2.890988032013429,-2.7232492592242035,-0.09764609933895646,-0.07664130522116795,-2.1919023680871765
