asset,rehedge_minutes,fees_total,option_fees,perp_fees
BTC,5,0.25991336180560154,0.02969425490730775,0.2302191068982938
BTC,60,0.10712716202026815,0.02969425490730775,0.07743290711296037
BTC,480,0.0657625213594726,0.02969425490730775,0.03606826645216485
BTC,1440,0.05793789248020441,0.02969425490730775,0.028243637572896666
ETH,5,0.2662853773901812,0.029494477109436108,0.23679090028074512
ETH,60,0.10858104399192195,0.029494477109436115,0.07908656688248586
ETH,480,0.06628693120308593,0.029494477109436115,0.036792454093649805
ETH,1440,0.05805668960285741,0.029494477109436108,0.0285622124934213
SOL,5,0.27134767286284034,0.030565270822733418,0.24078240204010695
SOL,60,0.11255548585388622,0.030565270822733418,0.08199021503115281
SOL,480,0.06955848919549193,0.030565270822733425,0.0389932183727585
SOL,1440,0.06026791752944176,0.03056527082273343,0.02970264670670834
XRP,5,0.2542940575029354,0.03204923897004704,0.22224481853288836
XRP,60,0.1130827901392214,0.03204923897004704,0.08103355116917436
XRP,480,0.07120458972798217,0.03204923897004704,0.03915535075793514
XRP,1440,0.06168545911189743,0.03204923897004704,0.029636220141850383
